segmentnr	original	analyzed
MBTridasadaamaraapratyaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBTridasadaamaraapratyaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00204	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBTridasadaamaraapratyaHK-2	Uniform title: tridaśaḍāmarāpratyaṅgirāviśayakanānātantra	tridaśa ḍāmarā pratyaṅgirā viśayaka nānā tantra 
MBTridasadaamaraapratyaHK-3	Manuscript : NGMCP reel no. B 173/22 manuscript no. 3-30	manuscript ns U 
MBTridasadaamaraapratyaHK-4	Notes: Data entered by the staff of Muktabodha under the supervision of Mark S.G. Dyczkowski.	notes data entered by the staff muktabodha under the supervision of mark sg dyczkowski 
MBTridasadaamaraapratyaHK-5	Release 0: February 12, 2010	relase february 
MBTridasadaamaraapratyaHK-6	Publication country : India	publication country india 
MBTridasadaamaraapratyaHK-7	oṃ namaḥ śrīdevyai	om namaḥ śrī devyai 
MBTridasadaamaraapratyaHK-8	himavacchikhare ramye surāsuraniṣevite |	himavat śikhare ramye sura asura niṣevite 
MBTridasadaamaraapratyaHK-9	tatra sthāne sukhāsīnaṃ devadevaṃ maheśvaram ||	tatra sthāne sukha āsīnam devadevam maheśvaram 
MBTridasadaamaraapratyaHK-10	surāsurendranamite siddhagaṃdharvapūjite |	sura asura indra namite siddha gaṃdharva pūjite 
MBTridasadaamaraapratyaHK-11	kṛtāṃjalipūṭā devī idaṃ vacanamavravīt ||	kṛta aṃjali pūṭā devī idam vacanam avravīt 
MBTridasadaamaraapratyaHK-12	śrīdevyuvāca	śrī devī uvāca 
MBTridasadaamaraapratyaHK-13	sarvaśrotodbhavaṃ jñānaṃ tvatprasādātmayā śrutam |	sarva śrotā udbhavam jñānam tvad prasāda ātmayā śrutam 
MBTridasadaamaraapratyaHK-14	kā vidyā sākinīnāntu daityānāṃ gatināśinī ||	kā vidyā sākinīnām tu daityānām gati nāśinī 
MBTridasadaamaraapratyaHK-15	saṃsiddhāyā yuge ghore sarvasaṃśayabhedinī |	saṃsiddhāyāḥ yuge ghore sarva saṃśaya bhedinī 
MBTridasadaamaraapratyaHK-16	śrībhairava uvāca	śrī bhairavaḥ uvāca 
MBTridasadaamaraapratyaHK-17	pūrvaṃ gaurimahāghore śmaśāne karavīrake ||	pūrvam śmaśāne karavīrake 
MBTridasadaamaraapratyaHK-18	ārādhito'haṃ devībhiryāge saṃpūjanāya ca |	ārādhitaḥ aham devībhiḥ yāge saṃpūjanāya ca 
MBTridasadaamaraapratyaHK-19	tvāṃ cārusaṃsthāṃ kṛtvā tu pātastatravarānane ||	tvām cāru saṃsthām kṛtvā tu pātaḥ tatra varānane 
MBTridasadaamaraapratyaHK-20	catuḥṣaṣṭhistu yā koṭyā sākinyādyā mahābalāḥ |	catuḥṣaṣṭhiḥ tu yā koṭyā sākinī ādyāḥ mahā balāḥ 
MBTridasadaamaraapratyaHK-21	yajñabhāgaṃ prayacchanti caruṃ kṛtvāsvabāṃdhavān ||	yajña bhāgam prayacchanti carum kṛtvā a sva bāṃdhavān 
MBTridasadaamaraapratyaHK-22	bhujāmitamahaṃ bhadre krīḍāmi carayāmi ca |	bhujāmitam aham bhadre krīḍāmi carayāmi ca 
MBTridasadaamaraapratyaHK-23	yāvadanyatra divase tāvaccāti madotkaṭāḥ ||	yāvat anyatra divase tāvat ca ati mada utkaṭāḥ 
MBTridasadaamaraapratyaHK-24	caruṃ prayacchabhagavan paripāṭyā samāsataḥ |	carum prayaccha bhagavan paripāṭyā samāsatas 
MBTridasadaamaraapratyaHK-25	mayoktaṃ nāsti me kiṃcit kapālī haṃ digambaraḥ ||	mayā uktam na asti me kiṃcid kapālī haṃ digambaraḥ 
MBTridasadaamaraapratyaHK-26	śmaśānavāsī satataṃ nāsti me bāṃdhavaḥ kvacit |	śmaśāna vāsī satatam nā asti me bāṃdhavaḥ kvacid 
MBTridasadaamaraapratyaHK-27	vihasyatābhiruktaṃ vai asti te tripurāntake ||	vihasyatā abhiḥ uktam vai asti te tripurāntake 
MBTridasadaamaraapratyaHK-28	kulācārānalupyante vayaṃ tu tava kiṃkarīḥ |	vayam tu tava kiṃkarīḥ 
MBTridasadaamaraapratyaHK-29	p. 1b) tadvayaṃ paribhokṣyāmi dehino varamuttamam ||	tat mayam paribhokṣyāmi dehinaḥ varam uttamam 
MBTridasadaamaraapratyaHK-30	mayoktameva tāsāntu gṛhnīdhvamaviśaṅkitāḥ |	mayā uktam eva tāsām tu gṛhnīdhvam a viśaṅkitāḥ 
MBTridasadaamaraapratyaHK-31	gṛhītacarukaṃ bhāgaṃ yasyāmi śira uttamam ||	gṛhīta carukam bhāgam yasyāmi śiraḥ uttamam 
MBTridasadaamaraapratyaHK-32	tvadīya vadanākrānta taddṛṣṭvā tu vimohitaṃ |	tvadīya vadana ākrānta tat dṛṣṭvā tu vimohitam 
MBTridasadaamaraapratyaHK-33	muhyamānamatibhraṃsaṃ tiṣṭhāmikaravīrake ||	muhyamānam ati bhraṃsam tiṣṭhāmi karavīrake 
MBTridasadaamaraapratyaHK-34	praskhalan ḍāmarībhūto hā priyahā priyeti ca |	praskhalan ḍāmarībhūtaḥ hā priya hā priya iti ca 
MBTridasadaamaraapratyaHK-35	ūrūpaśyāmi tacchūnyaṃ tadāhaṃ mohamāgataḥ ||	ūru upaśyāmi tat śūnyam tadā aham moham āgataḥ 
MBTridasadaamaraapratyaHK-36	evamuḍḍāmarībhūto vismṛtāmasvakāṃ tanuḥ |	evam uḍḍāmarībhūtaḥ vismṛtām a svakām tanuḥ 
MBTridasadaamaraapratyaHK-37	tatra kāla mahādevi sākinībhirmahābalāt ||	tatra kāla mahādevi sākinībhiḥ mahā balāt 
MBTridasadaamaraapratyaHK-38	bhakṣitāmṛtamādāya tatasvābhistyayaṃ sati |	bhakṣita amṛtam ādāya sati 
MBTridasadaamaraapratyaHK-39	tasmin niśceṣṭabhāvasthaḥ tadvittomantramutthitaḥ ||	tasmin niśceṣṭa bhāva sthaḥ tad vittaḥ mantram utthitaḥ 
MBTridasadaamaraapratyaHK-40	paraṃ samādhimāśritya cetastatra samāśritam |	param samādhim āśritya cetaḥ tatra samāśritam 
MBTridasadaamaraapratyaHK-41	hṛdayādutthitā devī jagadānandakāriṇī ||	hṛdayāt utthitā devī jagat ānanda kāriṇī 
MBTridasadaamaraapratyaHK-42	prasuptabhujagākārā spandanānandasaṃyutā |	prasupta bhujaga ākārā spandana ānanda saṃyutā 
MBTridasadaamaraapratyaHK-43	akalā madhyabhāgā tu kālāgni sadṛśaprabhā ||	akalā madhya bhāgā tu kālāgni sadṛśa prabhā 
MBTridasadaamaraapratyaHK-44	kālasaṃkarṣaṇī khyātā cakre kālāgnibhairavī |	            
MBTridasadaamaraapratyaHK-45	ādhārabhūtā jīvaso? sthitā sā paramākalā ||	ādhāra bhūtā sthitā sā paramā kalā 
MBTridasadaamaraapratyaHK-46	vyāpinī sarvabhūtānāmekāsānekatā gatā |	vyāpinī sarva bhūtānām ekā āsīt aneka tāḥ gatā 
MBTridasadaamaraapratyaHK-47	ekā parāparāśakti viśvagrāsaikalaṃpaṭā ||	              
MBTridasadaamaraapratyaHK-48	pūrṇimā pūritā jñeyā racitā sātvamāsmṛtā |	pūrṇimā pūritā jñeyā racitā sātvam āsmṛtā 
MBTridasadaamaraapratyaHK-49	p. 2) sāntyā parāparā sāntā śūnyātītā niraṃjanā ||	sāntyā parāparā sāntā śūnyātītā niraṃjanā 
MBTridasadaamaraapratyaHK-50	mahātejomayī lakṣmī raśmikoṭyā yutopamā |	mahā tejaḥ mayī lakṣmī raśmi koṭyā yuta upamā 
MBTridasadaamaraapratyaHK-51	nirmalāniṣkalā devi sakalāsthūlavigrahā ||	nirmalā a niṣkalā devi sakala a sthūla vigrahā 
MBTridasadaamaraapratyaHK-52	paṃcavaktrā daśabhūjā tripaṃcanayanairyutā |	paṃcavaktrā daśa bhūjā tri paṃca nayanaiḥ yutā 
MBTridasadaamaraapratyaHK-53	śvetavarṇā mahādevī mahāpreto paristhitā ||	śveta varṇā mahādevī paristhitā 
MBTridasadaamaraapratyaHK-54	mātrāṣṭakasya madhyasthā siddhiyogini pūjitā |	mātrā aṣṭakasya madhya sthā siddhiyogini pūjitā 
MBTridasadaamaraapratyaHK-55	saumyogra japabhāvena sādhakecchāsamāsṛtā ||	saumya ugra japa bhāvena sādhaka icchā samāsṛtā 
MBTridasadaamaraapratyaHK-56	dāritāsyā lelihānāṃ jvālāpluṣṭaṃ kṛtaṃ jagat |	dārita āsyā lelihānām jvālā pluṣṭam kṛtam jagat 
MBTridasadaamaraapratyaHK-57	ucchvāsocchvāsayogena cālayet kulaparvatān ||	ucchvāsa ucchvāsa yogena cālayet kula parvatān 
MBTridasadaamaraapratyaHK-58	kvaciddhvaṃse kvacit kūpyet kvacit saṃharate prajāḥ |	kvacid dhvaṃse kvacid kūpyet kvacid saṃharate prajāḥ 
MBTridasadaamaraapratyaHK-59	kvacit sṛjet kvacit pālye svatantrecchāpravartate ||	kvacid sṛjet kvacid pālye svatantra icchā pravartate 
MBTridasadaamaraapratyaHK-60	goṇāsā bharaṇairyuktā uragendravibhūṣitā |	bharaṇaiḥ yuktā uraga indra vibhūṣitā 
MBTridasadaamaraapratyaHK-61	pāśāṅkuśadharādevī varadābhayapāṇikā ||	             
MBTridasadaamaraapratyaHK-62	savyahaste dhṛtaṃ khaḍgaṃ trailokya kṣobhakārakam |	savya haste dhṛtam khaḍgam trailokya kṣobha kārakam 
MBTridasadaamaraapratyaHK-63	vāme khaṭvāṅgamatyugraṃ dakṣiṇe śūlamuttamam ||	vāme khaṭvāṅgam ati ugram dakṣiṇe śūlam uttamam 
MBTridasadaamaraapratyaHK-64	apare kandaraṃ raudraṃ trailokyakṣatajānvitam |	apare kandaram raudram trailokya kṣataja anvitam 
MBTridasadaamaraapratyaHK-65	tathānye sa sthitaṃ muṇḍaṃ sa keśaṃ śoṇitāṃnvitam ||	tathā anye sa sthitam muṇḍam sa keśam śoṇita aṃnvitam 
MBTridasadaamaraapratyaHK-66	vāme tu kalaśaṃ divyaṃ mahāratnaiḥ prapūritam |	vāme tu kalaśam divyam mahā ratnaiḥ prapūritam 
MBTridasadaamaraapratyaHK-67	eṣā pratyaṃgirā khyātā utpannā vyomadehagā ||	eṣā pratyaṃgirā khyātā utpannā vyoma deha gā 
MBTridasadaamaraapratyaHK-68	ekāsāneka bhedena viśvaṃ vyāpyavyavasthitā |	ekā āsa aneka bhedena viśvam vyāpya vyavasthitā 
MBTridasadaamaraapratyaHK-69	p. 2b) devī tuṣṭamanā sarva sruvanti parayāgirā ||	sarva sruvanti parayā girā 
MBTridasadaamaraapratyaHK-70	ḍāmaraṃ hi mahāyāgaṃ tadarthaṃ hi suraiḥ kṛtaṃ |	ḍāmaram hi mahā yāgam tad artham hi suraiḥ kṛtam 
MBTridasadaamaraapratyaHK-71	tasyā bhedaṃ prabhedena koṭisaṃkhyātanaṃdini ||	tasyāḥ bhedam prabhedena koṭi saṃkhyāta naṃdini 
MBTridasadaamaraapratyaHK-72	pratyaṅgirātviyaṃ devi siddhilakṣmī jayadrathe |	prati aṅgirāḥ tu iyam devi siddhi lakṣmī jayadrathe 
MBTridasadaamaraapratyaHK-73	jhaṃkāra bhairava caṇḍā śivāntu kulaḍāmare ||	jhaṃkāra bhairava caṇḍā kula ḍāmare 
MBTridasadaamaraapratyaHK-74	śrīdevyuvāca	śrī devī uvāca 
MBTridasadaamaraapratyaHK-75	bhagavandeva deveśa śaśāṅkakṛta śekhare |	bhagavan deva deveśa śaśāṅka kṛta śekhare 
MBTridasadaamaraapratyaHK-76	dhyānaṃ yathārthadhyātavyaṃ tvat prasādānmayā prabho ||	dhyānam yathārtha dhyātavyam tvat prasādāt mayā prabho 
MBTridasadaamaraapratyaHK-77	adhunā śrotumicchāmi mantraśaucāraṇaṃ paraṃ |	adhunā śrotum icchāmi mantra śauca āraṇam param 
MBTridasadaamaraapratyaHK-78	bhairava uvāca	bhairavaḥ uvāca 
MBTridasadaamaraapratyaHK-79	mantraṃ tu hṛdgataṃ bhadre ahaṃ jānāmi tatvataḥ ||	mantram tu hṛd gatam bhadre aham jānāmi tatvataḥ 
MBTridasadaamaraapratyaHK-80	kathayāmi na saṃdehastvayā ca prerito yadā |	kathayāmi na saṃdehaḥ tvayā ca preritaḥ yadā 
MBTridasadaamaraapratyaHK-81	bhūpradeśe same śuddhe kuṃkumodakalepite ||	bhū pradeśe same śuddhe kuṃkuma udaka lepite 
MBTridasadaamaraapratyaHK-82	mātṛkāṃ prastaret tatra mantrānāṃ jananī parā |	mātṛkām prastaret tatra mantrānām jananī parā 
MBTridasadaamaraapratyaHK-83	adṛṣṭavigrahā cchāntā cchivātparamakāraṇāt ||	adṛṣṭa vigrahā śāntā śivāt parama kāraṇāt 
MBTridasadaamaraapratyaHK-84	utpannā tu parāśaktiradehādeharūpiṇī |	utpannā tu parā śaktiḥ adehā adeha rūpiṇī 
MBTridasadaamaraapratyaHK-85	tatrotpannā golakākhyaṃ tārārūpaṃ cidātmakam ||	tatra utpannāḥ golaka ākhyam tārā rūpam cit ātmakam 
MBTridasadaamaraapratyaHK-86	tajjātadhvanirūpeṇa dhvanibindutvamāgataḥ |	tad jāta dhvani rūpeṇa dhvani bindu tvam āgataḥ 
MBTridasadaamaraapratyaHK-87	bindornādasya cotpatti rasvarasya sureśvari ||	bindoḥ nādasya ca utpatti rasvarasya sureśvari 
MBTridasadaamaraapratyaHK-88	tato svarānnusubhage prasūtāmātṛkā śubhā |	prasūtā mātṛkā śubhā 
MBTridasadaamaraapratyaHK-89	kūṭayuktā varārohe paṃcaśadbhedavarṇagā ||	kūṭa yuktā varārohe paṃcaśat bheda varṇa gā 
MBTridasadaamaraapratyaHK-90	yā sā parāparāsūkṣmā prāṇasyāntargatā śivā |	yā sā parāparā sūkṣmā prāṇasya antargatā śivā 
MBTridasadaamaraapratyaHK-91	p. 3a) sā yoni sarvamantrāṇāṃ kalā saptadaśī parā ||	sā sarva mantrāṇām kalā saptadaśī parā 
MBTridasadaamaraapratyaHK-92	parākāśa samudbhūtā icchāśaktivarānane |	para ākāśa samudbhūtā icchā śakti varānane 
MBTridasadaamaraapratyaHK-93	bindukrama jñānaśaktiḥ kriyārtho yā nigadyate ||	           
MBTridasadaamaraapratyaHK-94	sūryarūpaṃ tataḥ prāṇo hyapāṇaḥ śaśi sobhane |	sūrya rūpam tatas prāṇaḥ hi apāṇaḥ śaśi sobhane 
MBTridasadaamaraapratyaHK-95	samāno varuṇo jñeyo rudānaḥ pāvakaḥ punaḥ ||	samānaḥ varuṇaḥ jñeyaḥ rudānaḥ pāvakaḥ punar 
MBTridasadaamaraapratyaHK-96	māyā sarvāṅgasandhīnāṃ nibaṃdho vyāna ucyate |	māyā sarva aṅga sandhīnām nibaṃdhaḥ vyānaḥ ucyate 
MBTridasadaamaraapratyaHK-97	dvicatuṣkaprakāreṇa udītaḥ piṇḍanāyakaḥ ||	dvi catuṣka prakāreṇa udītaḥ piṇḍanāyakaḥ 
MBTridasadaamaraapratyaHK-98	carācarasya jagataḥ sṛṣṭisaṃhārakārakaḥ |	            
MBTridasadaamaraapratyaHK-99	pūrakaṃ ca tataḥ paścādastrayuktaṃ varānane ||	pūrakam ca tatas paścāt astra yuktam varānane 
MBTridasadaamaraapratyaHK-100	antakapunaruddhṛtya śūnyamādyantayojitam |	antaka punar uddhṛtya śūnyam ādi anta yojitam 
MBTridasadaamaraapratyaHK-101	paṃcamaṃ ca tṛtīyādyaṃ santāntaṃ tu samuddharet ||	paṃcamam ca tṛtīya ādyam santa antam tu samuddharet 
MBTridasadaamaraapratyaHK-102	graṃthīśvarasamāyuktaṃ dantavarṇagaṇāmvike |	          
MBTridasadaamaraapratyaHK-103	sarvagaṃnavamayuktaṃ uduruccharabhūṣitam ||	sarva gam navama yuktam udurucchara bhūṣitam 
MBTridasadaamaraapratyaHK-104	antyādyameghasahitaṃ rikterādyaṃ tataḥ priye |	antya ādya megha sahitam rikteḥ ādyam tatas priye 
MBTridasadaamaraapratyaHK-105	ādyantapadamarttante dantajīvayutaṃ dadet ||	ādi anta pada martta ante dantajīva yutam dadet 
MBTridasadaamaraapratyaHK-106	vedayuktaṃ binduyutaṃ śivavaktraṃ niyojayet |	veda yuktam bindu yutam śiva vaktram niyojayet 
MBTridasadaamaraapratyaHK-107	asyādyantantu saṃyojya astrarājamahābalam ||	saṃyojya astrarāja mahā balam 
MBTridasadaamaraapratyaHK-108	vedapīyūṣavahnisthaṃ paṃcabindusabindukam |	                    
MBTridasadaamaraapratyaHK-109	astrarājaṃ yathoktaṃ syāt krameṇasurasuṃdari ||	astrarājam yathā uktam syāt krameṇa surasuṃdari 
MBTridasadaamaraapratyaHK-110	etat kramadvayaṃ cānya rephaṃ madhyagataṃ nyaset |	etat krama dvayam madhya gatam nyaset 
MBTridasadaamaraapratyaHK-111	p. 3b) saptādaśākṣarā yojya sthītāstvīdrāvikā priye ||	saptādaśa akṣarā yojya priye 
MBTridasadaamaraapratyaHK-112	athānyaṃ saṃpravakṣyāmi mālāmantrasuśobhane |	atha anyam saṃpravakṣyāmi mālā mantra su śobhane 
MBTridasadaamaraapratyaHK-113	oṃ paṃttaṃgirisamuddhṛtya mahārājā tataḥ param ||	om panttaṃgiri samuddhṛtya mahā rājā tatas param 
MBTridasadaamaraapratyaHK-114	mahāśaṃkhaṃ tato yojya diḍaṣāṇe tathaiva ca |	mahāśaṃkham tatas yojya diḍaṣāṇe tathā eva ca 
MBTridasadaamaraapratyaHK-115	haḍḍamaḍḍo tato yojyamabaleti tataḥ param ||	tatas yojyam abalā iti tatas param 
MBTridasadaamaraapratyaHK-116	jñāmahikara idadṛkarāva ipadaṃ punaḥ |	jñā mahi karaḥ idadṛ karāvaḥ i padam punar 
MBTridasadaamaraapratyaHK-117	vidi āva iva tathā attha hatthi padaṃ punaḥ ||	vidi āva iva tathā attha hatthi padam punar 
MBTridasadaamaraapratyaHK-118	parahatthi sā ihatthijñā giti ci tathaiva ca |	para hatthi sā ihatthi jñā g iti ci tathā eva ca 
MBTridasadaamaraapratyaHK-119	pare ca karmaṇe yogyātā hi pattiṃ giriṃ puma ||	pare ca karmaṇe yogyātāḥ hi pattim girim puma 
MBTridasadaamaraapratyaHK-120	nivajri ca tathā matthi ādyanta puṭitā priye |	nivajri ca tathā matthi ādi anta puṭitā priye 
MBTridasadaamaraapratyaHK-121	na ca tyekonarahitā yoginīnāṃ mukhe sthitā ||	na ca yoginīnām mukhe sthitā 
MBTridasadaamaraapratyaHK-122	aśarīrā parācādyā śrutvā padmodbhavesati |	aśarīrā śrutvā 
MBTridasadaamaraapratyaHK-123	etadvidyā prabhāvena sampannāsmijagajjayī ||	etad vidyā prabhāvena sampannā asmi jagat jayī 
MBTridasadaamaraapratyaHK-124	āsītpūrvate moghoraṃ carācaravivarjitam |	āsīt pūrvate moghoram carācara vivarjitam 
MBTridasadaamaraapratyaHK-125	satvamāyāguṇātītaṃ karaṇena samanvitaḥ ||	satva māyā guṇa atītam karaṇena samanvitaḥ 
MBTridasadaamaraapratyaHK-126	īdṛśe vajagajjāte icchāśaktiḥ śivasya ca |	īdṛśe icchā śaktiḥ śivasya ca 
MBTridasadaamaraapratyaHK-127	tanmātradyotayogena svayajñānī prayacchati ||	              
MBTridasadaamaraapratyaHK-128	kriyā ca sṛjate viśvaṃ yadbhūtaṃ yadbhaviṣyati |	kriyā ca sṛjate viśvam yat bhūtam yat bhaviṣyati 
MBTridasadaamaraapratyaHK-129	tayā vimalarūpeṇa nirmitantu sadāśivam ||	tayā vimala rūpeṇa sadāśivam 
MBTridasadaamaraapratyaHK-130	nādarūpaṃ śivaḥ sākṣādabhedābhedavarjitam |	nāda rūpam śivaḥ sākṣāt abheda abheda varjitam 
MBTridasadaamaraapratyaHK-131	muñcantu te sadānādaṃ bahusthaṃ tripadānvitam ||	muñcantu te sadā nādam bahu stham tripada anvitam 
