segmentnr	original	analyzed
SA_GE09_ram_07_u-0	Vālmīki: Rāmāyaṇa,	vālmīki rāmāyaṇa 
SA_GE09_ram_07_u-1	7. Uttarakāṇḍa	uttara kāṇḍa 
SA_GE09_ram_07_u-2	7.001.001a prāptarājyasya rāmasya rākṣasānāṃ vadhe kṛte	prāpta rājyasya rāmasya rākṣasānām vadhe kṛte 
SA_GE09_ram_07_u-3	7.001.001c ājagmur ṛṣayaḥ sarve rāghavaṃ pratinanditum	ājagmuḥ ṛṣayaḥ sarve rāghavam pratinanditum 
SA_GE09_ram_07_u-4	7.001.002a kauśiko 'tha yavakrīto raibhyaś cyavana eva ca	kauśikaḥ tha yavakrītaḥ raibhyaḥ cyavanaḥ eva ca 
SA_GE09_ram_07_u-5	7.001.002c kaṇvo medhātitheḥ putraḥ pūrvasyāṃ diśi ye śritāḥ	kaṇvaḥ medhātitheḥ putraḥ pūrvasyām diśi ye śritāḥ 
SA_GE09_ram_07_u-6	7.001.003a svastyātreyaś ca bhagavān namuciḥ pramucus tathā	svastyātreyaḥ ca bhagavān namuciḥ pramucuḥ tathā 
SA_GE09_ram_07_u-7	7.001.003c ājagmus te sahāgastyā ye śritā dakṣiṇāṃ diśam	ājagmuḥ te saha agastyāḥ ye śritāḥ dakṣiṇām diśam 
SA_GE09_ram_07_u-8	7.001.004a pṛṣadguḥ kavaṣo dhaumyo raudreyaś ca mahān ṛṣiḥ	pṛṣadguḥ kavaṣaḥ dhaumyaḥ raudreyaḥ ca mahān ṛṣiḥ 
SA_GE09_ram_07_u-9	7.001.004c te 'py ājagmuḥ saśiṣyā vai ye śritāḥ paścimāṃ diśam	te pi ājagmuḥ sa śiṣyāḥ vai ye śritāḥ paścimām diśam 
SA_GE09_ram_07_u-10	7.001.005a vasiṣṭhaḥ kaśyapo 'thātrir viśvāmitro 'tha gautamaḥ	vasiṣṭhaḥ kaśyapaḥ tha atriḥ viśvāmitraḥ gautamaḥ 
SA_GE09_ram_07_u-11	7.001.005c jamadagnir bharadvājas te 'pi saptamaharṣayaḥ	jamadagniḥ bharadvājaḥ te pi sapta mahā ṛṣayaḥ 
SA_GE09_ram_07_u-12	7.001.006a saṃprāpyaite mahātmāno rāghavasya niveśanam	saṃprāpya ete mahātmānaḥ rāghavasya niveśanam 
SA_GE09_ram_07_u-13	7.001.006c viṣṭhitāḥ pratihārārthaṃ hutāśanasamaprabhāḥ	viṣṭhitāḥ pratihāra artham hutāśana sama prabhāḥ 
SA_GE09_ram_07_u-14	7.001.007a pratihāras tatas tūrṇam agastyavacanād atha	pratihāraḥ tatas tūrṇam agastya vacanāt atha 
SA_GE09_ram_07_u-15	7.001.007c samīpaṃ rāghavasyāśu praviveśa mahātmanaḥ	samīpam rāghavasya āśu praviveśa mahātmanaḥ 
SA_GE09_ram_07_u-16	7.001.008a sa rāmaṃ dṛśya sahasā pūrṇacandrasamadyutim	sa rāmam dṛśya sahasā pūrṇa candra sama dyutim 
SA_GE09_ram_07_u-17	7.001.008c agastyaṃ kathayām āsa saṃprātam ṛṣibhiḥ saha	agastyam kathayām āsa saṃprātam ṛṣibhiḥ saha 
SA_GE09_ram_07_u-18	7.001.009a śrutvā prāptān munīṃs tāṃs tu bālasūryasamaprabhān	śrutvā prāptān munīn tān tu bāla sūrya sama prabhān 
SA_GE09_ram_07_u-19	7.001.009c tadovāca nṛpo dvāḥsthaṃ praveśaya yathāsukham	tadā uvāca nṛpaḥ dvāḥstham praveśaya yathāsukham 
SA_GE09_ram_07_u-20	7.001.010a dṛṣṭvā prāptān munīṃs tāṃs tu pratyutthāya kṛtāñjaliḥ	dṛṣṭvā prāptān munīn tān tu pratyutthāya kṛtāñjaliḥ 
SA_GE09_ram_07_u-21	7.001.010c rāmo 'bhivādya prayata āsanāny ādideśa ha	rāmaḥ bhivādya prayataḥ āsanāni ādideśa ha 
SA_GE09_ram_07_u-22	7.001.011a teṣu kāñcanacitreṣu svāstīrṇeṣu sukheṣu ca	teṣu kāñcana citreṣu su āstīrṇeṣu sukheṣu ca 
SA_GE09_ram_07_u-23	7.001.011c yathārham upaviṣṭās te āsaneṣv ṛṣipuṃgavāḥ	yathārham upaviṣṭāḥ te āsaneṣu ṛṣi puṃgavāḥ 
