segmentnr	original	analyzed
SA_GS40_salrasmu-0	Rmañj, 1	rmañc 
SA_GS40_salrasmu-1	yadgaṇḍamaṇḍalagalanmadhuvāri binduḥ pānālasāti nibhṛtāṃ lalitālimālā /	yad gaṇḍa maṇḍala galat madhu vāri binduḥ pāna alasāti nibhṛtām lalitā ali mālā 
SA_GS40_salrasmu-2	yadguñjitena vinihanti navendranīla śaṅkāṃ sa vo gaṇapatiḥ śivamātanotu // Rmañj_1.1 //	yat guñjitena vinihanti nava indranīla śaṅkām sa vaḥ gaṇapatiḥ śivam ātanotu 
SA_GS40_salrasmu-3	indīvarī bhavati yacca caraṇāravindadvandve purandarapuraḥsaradevatānām /	indīvarī bhavati yat ca caraṇa aravinda dvandve purandara puraḥsara devatānām 
SA_GS40_salrasmu-4	vandārutā kalayatāṃ sukirīṭakoṭiḥ śrī śāradā bhavatu sā bhavapāradāya // Rmañj_1.2 //	vandāru tā kalayatām su kirīṭa koṭiḥ śrī śāradā bhavatu sā bhava pāradāya 
SA_GS40_salrasmu-5	he bhasmāṅgaviraktirūpaguṇadaṃ taṃ preraṇādaṃ śivaṃ gaṅgābhūṣitaśekharaṃ smaraharaṃ śaktisvarūpaṃ prabho /	he bhasma aṅga virakti rūpa guṇa dam tam preraṇa dam śivam gaṅgā bhūṣita śekharam smaraharam śakti svarūpam prabho 
SA_GS40_salrasmu-6	tvāmīśaṃ karuṇārṇavaṃ śaraṇadaṃ vidyānidhiṃ nirguṇaṃ sūtendraṃ girijāpatiṃ śaśidharaṃ māṅgalyadevaṃ namaḥ /	tvām īśam karuṇā arṇavam śaraṇa dam vidyā nidhim nirguṇam sūtendram girijā patim śaśi dharam māṅgalya devam namaḥ 
SA_GS40_salrasmu-7	śrīvaidyanāthatanayaḥ sunayaḥ suśīlaḥ śrīśālinātha iti viśrutanāmadheyaḥ /	śrī vaidya nātha tanayaḥ sunayaḥ suśīlaḥ śrīśālināthaḥ iti viśruta nāmadheyaḥ 
SA_GS40_salrasmu-8	tenāvalokya vidhivad vividhaprabandhān ārambhate sukṛtinā rasamañjarīyam // Rmañj_1.3 //	tena avalokya vidhivat vividha prabandhān su kṛtinā rasamañjarīyam 
SA_GS40_salrasmu-9	sanmadhuvrataṃ vṛndānāṃ satataṃ cittahāriṇī /	sat madhu vratam vṛndānām satatam citta hāriṇī 
SA_GS40_salrasmu-10	anekarasapūrṇeyaṃ kriyate rasamañjarī // Rmañj_1.4 //	aneka rasa pūrṇā iyam kriyate rasamañjarī 
SA_GS40_salrasmu-11	harati sakalarogānmūrchito yo narāṇāṃ vitarati kila baddhaḥ khecaratvaṃ javena /	harati sakala rogān mūrchitaḥ yaḥ narāṇām vitarati kila baddhaḥ khecara tvam javena 
SA_GS40_salrasmu-12	sakalasuramunīndrair vanditaṃ śambhubījaṃ sa jayati bhavasindhuḥ pāradaḥ pārado'yam // Rmañj_1.5 //	sakala sura muni indraiḥ vanditam śambhubījam sa jayati bhava sindhuḥ pāradaḥ pāradaḥ iyam 
SA_GS40_salrasmu-13	śuṣkendhanamahārāśiṃ yadvaddahati pāvakaḥ /	śuṣka indhana mahā rāśim yadvat dahati pāvakaḥ 
SA_GS40_salrasmu-14	tadvaddahati sūto'yaṃ rogān doṣatrayodbhavān // Rmañj_1.6 //	tadvat dahati sūta uyam rogān doṣatraya udbhavān 
SA_GS40_salrasmu-15	tejo mṛgāṅkamaule soḍhuṃ yannaiva tejasāṃ puñjaiḥ /	tejaḥ mṛgāṅka maule soḍhum yat nā eva tejasām puñjaiḥ 
SA_GS40_salrasmu-16	ajarāmaratāṃ vitarati kalpataruṃ ca raseśvaraṃ vande // Rmañj_1.7 //	ajara amara tām vitarati kalpatarum ca raseśvaram vande 
SA_GS40_salrasmu-17	yo na vetti kṛpārāśiṃ rasahariharātmakam /	yaḥ na vetti kṛpā rāśim rasa hari hara ātmakam 
SA_GS40_salrasmu-18	vṛthā cikitsāṃ kurute sa vaidyo hāsyatāṃ vrajet // Rmañj_1.8 //	vṛthā cikitsām kurute sa vaidyaḥ hāsyatām vrajet 
SA_GS40_salrasmu-19	gurusevāṃ vinā karma yaḥ kuryānmūḍhacetasaḥ /	guru sevām vinā karma yaḥ kuryāt mūḍha cetasaḥ 
SA_GS40_salrasmu-20	sa yāti niṣphalatvaṃ hi svapnalabdhadhanaṃ yathā // Rmañj_1.9 //	sa yāti niṣphala tvam hi svapna labdha dhanam yathā 
SA_GS40_salrasmu-21	vidyāṃ gṛhītumicchanti cauryacchadmabalādinā /	vidyām gṛhītum icchanti caurya chadma bala ādinā 
SA_GS40_salrasmu-22	na teṣāṃ sidhyate kiṃcinmaṇimantrauṣadhādikam // Rmañj_1.10 //	na teṣām sidhyate kiṃcid maṇi mantra auṣadha ādikam 
SA_GS40_salrasmu-23	mantrasiddho mahāvīro niścalaḥ śivavatsalaḥ /	             
SA_GS40_salrasmu-24	devībhaktaḥ sadā dhīro devatāyāgatatparaḥ // Rmañj_1.11 //	devī bhaktaḥ sadā dhīraḥ devatā āyāga tatparaḥ 
SA_GS40_salrasmu-25	sarvaśāstrārthatattvajñaḥ kuśalo rasakarmaṇi /	sarva śāstra artha tattva jñaḥ kuśalaḥ rasakarmaṇi 
SA_GS40_salrasmu-26	etallakṣaṇasaṃyukto rasavidyāgururbhavet // Rmañj_1.12 //	etad lakṣaṇa saṃyuktaḥ rasa vidyā guruḥ bhavet 
SA_GS40_salrasmu-27	śiṣyo nijagurorbhaktaḥ satyavaktā dṛḍhavrataḥ /	śiṣyaḥ nija guroḥ bhaktaḥ satya vaktā dṛḍha vrataḥ 
SA_GS40_salrasmu-28	nirālasyaḥ svadharmajño devyārādhanatatparaḥ // Rmañj_1.13 //	             
SA_GS40_salrasmu-29	(pāradanāmāni)	         
SA_GS40_salrasmu-30	śivabījaṃ sūtarājaḥ pāradaśca rasendrakaḥ /	          
SA_GS40_salrasmu-31	etāni rasanāmāni tathānyāni śive yathā // Rmañj_1.14 //	etāni rasa nāmāni tathā anyāni śive yathā 
