segmentnr	original	analyzed
SA_K01_vinv04_u-0	Var-v § 0 -	varu  /
SA_K01_vinv04_u-1	Var-v § 1 -	varu  /
SA_K01_vinv04_u-2	Var-v § 1.1.a buddho bhagavāṃ śrāvastyāṃ varṣā upagato jetavane 'nāthapiṇḍadasyārāme.	buddhaḥ bhagavān śrāvastyām varṣāḥ upagataḥ jetavane nāthapiṇḍadasya ārāme 
SA_K01_vinv04_u-3	Var-v § 1.1.b -	varu  /
SA_K01_vinv04_u-4	Var-v § 1.1.c bhagavān āha. tasmād anujānāmi bhikṣuṇā varṣā upagantavyaṃ.	bhagavān āha tasmāt anujānāmi bhikṣuṇā varṣāḥ upagantavyam 
SA_K01_vinv04_u-5	Var-v § 1.2 uktaṃ bhagavatā bhikṣuṇā varṣā upagantavyam iti. bhikṣavo na jānate kathaṃ varṣā upagantavyam iti.	uktam bhagavatā bhikṣuṇā varṣāḥ upagantavyam iti bhikṣavaḥ na jānate katham varṣāḥ upagantavyam iti 
SA_K01_vinv04_u-6	Var-v § 1.2.1 bhagavān āha ...	bhagavān āha 
SA_K01_vinv04_u-7	Var-v § 1.2.2 tataḥ paścāt śayanāsanagrāhako bhikṣuḥ saṃmantavyaḥ.	tatas paścāt śayana āsana grāhakaḥ bhikṣuḥ saṃmantavyaḥ 
SA_K01_vinv04_u-8	Var-v § 1.2.2.a pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur asaṃmato na saṃmantavyaḥ,	pañcabhiḥ dharmaiḥ samanvāgataḥ śayanāsana grāhakaḥ bhikṣuḥ a saṃmataḥ na saṃmantavyaḥ 
SA_K01_vinv04_u-9	saṃmataś cāvakāśayitavyaḥ. katamaiḥ pañcabhiḥ. chandād gacchati,	saṃmataḥ ca avakāśayitavyaḥ katamaiḥ pañcabhiḥ chandāt gacchati 
SA_K01_vinv04_u-10	dveṣān mohād bhayād gacchati,	dveṣāt mohāt bhayāt gacchati 
SA_K01_vinv04_u-11	grāhitāgrāhitaṃ ca śayanāsanaṃ na jānāti. ebhiḥ pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur asaṃmato na saṃmantavyaḥ,	grāhita a grāhitam ca śayanāsanam na jānāti ebhiḥ pañcabhiḥ dharmaiḥ samanvāgataḥ śayanāsana grāhakaḥ bhikṣuḥ a saṃmataḥ na saṃmantavyaḥ 
SA_K01_vinv04_u-12	saṃmataś cāvakāśayitavyaḥ.	saṃmataḥ ca avakāśayitavyaḥ 
SA_K01_vinv04_u-13	Var-v § 1.2.2.b pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur asaṃmataḥ saṃmantavyaḥ. saṃmataś ca nāvakāśayitavyaḥ. katamaiḥ pañcabhiḥ.  #	pañcabhiḥ dharmaiḥ samanvāgataḥ śayanāsana grāhakaḥ bhikṣuḥ a saṃmataḥ saṃmantavyaḥ saṃmataḥ ca na avakāśayitavyaḥ katamaiḥ pañcabhiḥ 
SA_K01_vinv04_u-14	na chandād gacchati,	na chandāt gacchati 
SA_K01_vinv04_u-15	na dveṣān na mohān na bhayād gacchati,	na dveṣāt na mohāt na bhayāt gacchati 
SA_K01_vinv04_u-16	grāhitāgrāhitaṃ ca śayanāsanaṃ jānāti. ebhiḥ pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur asaṃmataḥ saṃmantavyaḥ,	grāhita a grāhitam ca śayanāsanam jānāti ebhiḥ pañcabhiḥ dharmaiḥ samanvāgataḥ śayanāsana grāhakaḥ bhikṣuḥ a saṃmataḥ saṃmantavyaḥ 
SA_K01_vinv04_u-17	saṃmataś ca nāvakāśayitavyaḥ.	saṃmataḥ ca na avakāśayitavyaḥ 
SA_K01_vinv04_u-18	Var-v § 1.2.3 evaṃ ca punaḥ saṃmantavyaḥ. śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	evam ca punar saṃmantavyaḥ śayana āsana prajñaptim kṛtvā gaṇḍīm 
