segmentnr	original	analyzed
SA_GR14_ss6_priu-0	śrī-prīti-sandarbhaḥ	         
SA_GR14_ss6_priu-1	tau santoṣayatā santau śrīla-rūpa-sanātanau /	tau santoṣayatā santau śrī larūpa sanātanau 
SA_GR14_ss6_priu-2	dākṣiṇātyena bhaṭṭena pnuar etad vivicyate //o//	dākṣiṇātyena bhaṭṭena etat vivicyate 
SA_GR14_ss6_priu-3	tasyādyaṃ granthanālekhaṃ krāntam utkrānta-khaṇḍitam /	tasya ādyam granthana ālekham krāntam utkrānta khaṇḍitam 
SA_GR14_ss6_priu-4	paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ //o// [1]	paryālocya atha paryāyam kṛtvā likhati jīvakaḥ 
SA_GR14_ss6_priu-5	atha prīti-sandarbho lekhyaḥ /	atha prīti sandarbhaḥ lekhyaḥ 
SA_GR14_ss6_priu-6	iha khalu śāstra-pratipādyaṃ parama-tattvaṃ	iha khalu śāstra pratipādyam parama tattvam 
SA_GR14_ss6_priu-7	sandarbha-catuṣṭayena pūrvaṃ sambaddham /	sandarbha catuṣṭayena pūrvam sambaddham 
SA_GR14_ss6_priu-8	tad-upāsanā ca tad-anantara-	tad upāsanā ca tad anantara 
SA_GR14_ss6_priu-9	sandarbheṇābhihitā /	sandarbheṇa abhihitā 
SA_GR14_ss6_priu-10	tat-krama-prāptatvena prayojanaṃ khalv adhunā	tad krama prāpta tvena prayojanam khalu adhunā 
SA_GR14_ss6_priu-11	vivicyate /	vivicyate 
SA_GR14_ss6_priu-12	puruṣa-prayojanaṃ tāvat sukha-prāptir duḥkha-nivṛttiś ca /	puruṣa prayojanam tāvat sukha prāptiḥ duḥkha nivṛttiḥ ca 
SA_GR14_ss6_priu-13	śrī-bhagavat-	         
SA_GR14_ss6_priu-14	prītau tu sukhatvaṃ duḥkha-nivartakatvaṃ cātyantikam iti /	prītau tu sukha tvam duḥkha nivartaka tvam ca ātyantikam iti 
SA_GR14_ss6_priu-15	etad uktaṃ bhavati	etat uktam bhavati 
SA_GR14_ss6_priu-16	yat khalu parama-tattvaṃ śāstra-pratipādyatvena pūrvaṃ nirṇītaṃ, tad eva sad-	yat khalu parama tattvam śāstra pratipādya tvena pūrvam nirṇītam tat eva sat 
SA_GR14_ss6_priu-17	ananta-paramānandatvena siddham /	           
SA_GR14_ss6_priu-18	śrutāv api saiṣānandasya mīmāṃsā	śrutau api sā eṣā ānandasya mīmāṃsā 
SA_GR14_ss6_priu-19	bhavati ity ārabhya mānuṣānandataḥ prājātyānanda-paryantaṃ daśa-kṛtvaḥ	bhavati iti ārabhya mānuṣa ānandataḥ prājātya ānanda paryantam daśa kṛtvas 
SA_GR14_ss6_priu-20	śata-guṇitatayā krameṇa teṣām ānandotkarṣa-parimāṇaṃ pradarśya punaś	śata guṇita tayā krameṇa teṣām ānanda utkarṣa parimāṇam pradarśya punar 
SA_GR14_ss6_priu-21	ca tato'pi śata-guṇatvena para-brahmānandaṃ pradarśyāpy aparitoṣāt yato	ca śataguṇa tvena para brahma ānandam pradarśya api a paritoṣāt yatas 
SA_GR14_ss6_priu-22	vāco nivartante ity ādi ślokena tad-ānandasyānantyatvam eva sthāpitaṃ	vācaḥ nivartante iti ādi ślokena tad ānandasya ānantya tvam eva sthāpitam 
SA_GR14_ss6_priu-23	vilakṣaṇatvaṃ ca /	vilakṣaṇa tvam ca 
SA_GR14_ss6_priu-24	ko hy evānyāt kaḥ prāṇyāt yad eṣa ākāśa ānando na syād	kaḥ hi eva anyāt kaḥ prāṇyāt yat eṣaḥ ākāśaḥ ānandaḥ na syāt 
SA_GR14_ss6_priu-25	ity anena nānā-svarūpa-dharmato'pi tasya kevalānanda-svarūpatvam eva ca	iti anena tasya kevala ānanda sva rūpa tvam eva ca 
SA_GR14_ss6_priu-26	darśitam / tathābhūta-mārtaṇḍādi-maṇḍalasya kevala-jyotiṣṭvavat /	darśitam tathābhūta mārtaṇḍa ādi maṇḍalasya kevala jyotiṣṭva vat 
SA_GR14_ss6_priu-27	atha jīvaś ca tadīyo'pi taj-jñāna-saṃsargābhāva-yuktatvena tan-māyā-	atha jīvaḥ ca tadīyaḥ api tad jñāna saṃsarga abhāva yukta tvena tat māyā 
SA_GR14_ss6_priu-28	parābhūtaḥ sann ātma-svarūpa-jñāna-lopān māyā-kalpitopādhyāveśāc	parābhūtaḥ san ātma sva rūpa jñāna lopāt māyā kalpita upādhi āveśāt 
SA_GR14_ss6_priu-29	cānādi-saṃsāra-duḥkhena sambadhyata iti paramātma-sandarbhādāv eva	ca anādi saṃsāra duḥkhena sambadhyate iti paramātma sandarbha ādau eva 
SA_GR14_ss6_priu-30	nirūpitam asti /	nirūpitam asti 
SA_GR14_ss6_priu-31	tata idaṃ labhyate parama-tattva-sākṣātkāra-lakṣaṇaṃ taj-	tatas idam labhyate parama tattva sākṣātkāra lakṣaṇam tat 
SA_GR14_ss6_priu-32	jñānam eva paramānanda-prāptiḥ /	         
SA_GR14_ss6_priu-33	saiva parama-puruṣārtha iti /	sā eva paramapuruṣa arthaḥ iti 
SA_GR14_ss6_priu-34	svātmājñāna-nivṛttiḥ duḥkhātyanta-nivṛttiś ca nidāne tad-ajñāne gate sati	svātma ajñāna nivṛttiḥ duḥkha atyanta nivṛttiḥ ca nidāne tad ajñāne gate sati 
SA_GR14_ss6_priu-35	svata eva sampadyate /	svatas eva sampadyate 
SA_GR14_ss6_priu-36	pūrvasyāḥ parama-tattva-svaprakāśatābhivyakti-	            
SA_GR14_ss6_priu-37	lakṣaṇa-mātrātmakatvād uttarasyāś ca dhvaṃsābhāva-rūpatvād	lakṣaṇa mātra ātmaka tvāt uttarasyāḥ ca dhvaṃsa abhāva rūpa tvāt 
SA_GR14_ss6_priu-38	anaśvaratvam /	anaśvara tvam 
SA_GR14_ss6_priu-39	uktaṃ ca pūrvasyāḥ parama-puruṣārthatvaṃ dharmasya hy	uktam ca pūrvasyāḥ parama puruṣa artha tvam dharmasya hi 
SA_GR14_ss6_priu-40	apavargasya ity ādinā [BhP 1.2.9],	apavargasya iti ādinā bhp 
SA_GR14_ss6_priu-41	tac-chraddadhānā munayo jñāna-vairāgya-yuktayā /	tat śraddadhānāḥ munayaḥ jñāna vairāgya yuktayā 
SA_GR14_ss6_priu-42	paśyanty ātmani cātmānaṃ bhaktyā śruta-gṛhītayā //	paśyanti ātmani ca ātmānam bhaktyā śruta gṛhītayā 
SA_GR14_ss6_priu-43	ity antena [BhP 1.2.12] /	iti antena bhp 
SA_GR14_ss6_priu-44	svataḥ sarva-duḥkha-nivṛttiś ca tatraivoktā - bhidyate hṛdaya-granthir [BhP	svatas sarva duḥkha nivṛttiḥ ca tatra eva uktā bhidyate hṛdaya granthiḥ bhp 
SA_GR14_ss6_priu-45	1.2.13] ity ādinā / śrī-viṣṇu-purāṇe ca -	iti ādinā śrī viṣṇupurāṇe ca 
SA_GR14_ss6_priu-46	nirastātiśayāhlāda-sukha-bhāvaika-lakṣaṇā /	nirasta atiśaya āhlāda sukha bhāva eka lakṣaṇā 
SA_GR14_ss6_priu-47	bheṣajaṃ bhagavat-prāptir ekāntātyantikī matā // [ViP 6.5.59] iti /	bheṣajam bhagavat prāptiḥ ekānta ātyantikī matā iti 
SA_GR14_ss6_priu-48	śrutau ca - ānandaṃ brahmaṇo vidvān na bibheti kutaścaneti [TaittU 2.4.1] /	śrutau ca ānandam brahmaṇaḥ vidvān na bibheti kutaścana iti tait tu 
SA_GR14_ss6_priu-49	eṣa eva ca mukti-śabdārthaḥ /	eṣaḥ eva ca mukti śabda arthaḥ 
SA_GR14_ss6_priu-50	saṃsāra-bandha-ccheda-pūrvakatvāt / yathoktaṃ	saṃsāra bandha cheda pūrvaka tvāt yathā uktam 
SA_GR14_ss6_priu-51	śrī-sūtena -	śrī sūtena 
SA_GR14_ss6_priu-52	yadaivam etena viveka-hetinā	yadā evam etena viveka hetinā 
SA_GR14_ss6_priu-53	māyā-mayāhaṅkaraṇātma-bandhanam /	māyā maya ahaṅkaraṇa ātma bandhanam 
SA_GR14_ss6_priu-54	chittvācyutātmānubhavo 'vatiṣṭhate	chittvā acyuta ātma anubhavaḥ vatiṣṭhate 
SA_GR14_ss6_priu-55	tam āhur ātyantikam aṅga samplavam // [BhP 12.4.34] iti /	tam āhuḥ ātyantikam aṅga samplavam  iti 
SA_GR14_ss6_priu-56	acyutākhye ātmani paramātmani anubhavo yasya tathābhūtaḥ san avatiṣṭhate	acyuta ākhye ātmani paramātmani anubhavaḥ yasya tathābhūtaḥ san avatiṣṭhate 
SA_GR14_ss6_priu-57	yat tam ātyantikaṃ samplavaṃ muktim āhur ity arthaḥ /	yat tam ātyantikam samplavam muktim āhuḥ iti arthaḥ 
SA_GR14_ss6_priu-58	atha muktir hitvānyathā-rūpaṃ svarūpeṇa vyavasthitir ity [BhP 2.10.6] etad api	atha muktiḥ hitvā anyathārūpam sva rūpeṇa vyavasthitiḥ iti bhp etat api 
SA_GR14_ss6_priu-59	tat-tulyārtham eva /	tad tulya artham eva 
SA_GR14_ss6_priu-60	yataḥ svarūpeṇa vyavasthitir nāma svarūpa-sākṣātkāra	yatas sva rūpeṇa vyavasthitiḥ nāma sva rūpa sākṣātkāra 
SA_GR14_ss6_priu-61	ucyate / tad-avasthāna-mātrasya saṃsāra-daśāyām api sthitatvāt / anyathā-	ucyate tad avasthāna mātrasya saṃsāra daśāyām api sthita tvāt anyathā 
SA_GR14_ss6_priu-62	rūpatvasya ca tad-ajñāna-mātrārthatvena tad-dhānau taj-jñāna-paryavasānāt /	rūpa tvasya ca tad ajñāna mātra ārtha tvena tad hānau tad jñāna paryavasānāt 
SA_GR14_ss6_priu-63	svarūpaṃ cātra mukhyaṃ paramātma-lakṣaṇam eva /	svarūpam ca atra mukhyam paramātma lakṣaṇam eva 
SA_GR14_ss6_priu-64	raśmi-paramāṇūnāṃ	raśmi paramāṇūnām 
SA_GR14_ss6_priu-65	sūrya iva sa eva hi jīvānāṃ paramo'ṃśi-svarūpaḥ /	sūryaḥ iva saḥ eva hi jīvānām parama oṃśi svarūpaḥ 
SA_GR14_ss6_priu-66	yathoktaṃ brahmāṇaṃ prati	yathā uktam brahmāṇam prati 
SA_GR14_ss6_priu-67	śrīmatā garbhodaśāyinā -	śrīmatā garbha uda śāyinā 
SA_GR14_ss6_priu-68	yadā rahitam ātmānaṃ bhūtendriya-guṇāśayaiḥ /	yadā rahitam ātmānam bhūta indriya guṇa āśayaiḥ 
SA_GR14_ss6_priu-69	svarūpeṇa mayopetaṃ paśyan svārājyam ṛcchati // [BhP 3.9.33] iti /	sva rūpeṇa mayā upetam paśyan svārājyam ṛcchati     iti 
SA_GR14_ss6_priu-70	upetaṃ yuktam ity evākliṣṭo'rthaḥ /	upetam yuktam iti eva akliṣṭa ūrthaḥ 
SA_GR14_ss6_priu-71	jīva-svarūpasyaiva gauṇānandatvaṃ	jīva svarūpasya eva gauṇa ānanda tvam 
SA_GR14_ss6_priu-72	darśitam / tasmāt priyatamaḥ svātmety uktvā [BhP 10.14.54] -	darśitam tasmāt priyatamaḥ svātmā iti uktvā bhp 
SA_GR14_ss6_priu-73	kṛṣṇam enam avehi tvam ātmānam akhilātmanām /	kṛṣṇam enam avehi tvam ātmānam akhila ātmanām 
SA_GR14_ss6_priu-74	jagad-dhitāya so'py atra dehīvābhāti māyayā // ity anena [BhP 10.14.55],	jagat hitāya saḥ upi atra dehi iva ābhāti māyayā iti anena bhp 
SA_GR14_ss6_priu-75	jīva-parayor abheda-vādas tu paramātma-sandarbhādau viśeṣato'pi	jīva parayoḥ abheda vādaḥ tu paramātma sandarbha ādau 
SA_GR14_ss6_priu-76	parihṛto'sti /	parihṛtaḥ asti 
SA_GR14_ss6_priu-77	ataeva niradhārayac chrutiḥ raso vai saḥ rasaṃ hy evāyaṃ	ataeva niradhārayat śrutiḥ rasaḥ vai saḥ rasam hi eva ayam 
SA_GR14_ss6_priu-78	labdhvānandī bhavati [Taitt 2.7.1] iti /	labdhvā ānandī bhavati taitt iti 
SA_GR14_ss6_priu-79	atrāṃśenāṃśi-prāptiś ca dvidhā	atra aṃśena aṃśi prāptiḥ ca dvidhā 
SA_GR14_ss6_priu-80	yojanīyā / tatrādyā brahma-prāptir māyā-vṛtty-avidyā-nāśānantaraṃ kevala-	yojanīyā 
SA_GR14_ss6_priu-81	tat-svarūpa-śakti-lakṣaṇa-tad-vijñānāvirbhāva-mātram /	tad svarūpa śakti lakṣaṇa tad vijñāna āvirbhāva mātram 
SA_GR14_ss6_priu-82	sā ca sva-sthāna eva	sā ca sva sthāne eva 
SA_GR14_ss6_priu-83	vā syāt / krameṇa sarva-loka-sarvāvaraṇātikramānantaraṃ vā syāt / upāsanā-	vā syāt krameṇa sarva loka sarva āvaraṇa atikrama anantaram vā syāt upāsanā 
