segmentnr	original	analyzed
SA_GK19_bhago-0	"""manobuddhyahaṃkāracittāni nāhaṃ"	manaḥ buddhi ahaṃkāra cittāni na aham 
SA_GK19_bhago-1	na ca śrotrajihve na ca ghrāṇanetre|	na ca śrotra jihve na ca ghrāṇa netre 
SA_GK19_bhago-2	na ca vyomabhūmi-rna tejo na vāyuḥ	na ca vyoma bhūmiḥ na tejaḥ na vāyuḥ 
SA_GK19_bhago-3	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham||1||"""	cit ānanda rūpaḥ 
SA_GK19_bhago-4	"""na ca prāṇasaṃjño na vai pañcavāyuḥ"	na ca prāṇa saṃjñaḥ na vai pañca vāyuḥ 
SA_GK19_bhago-5	na vā saptadhātu-rna vā pañcakośāḥ|	na vā sapta dhātuḥ na vā pañca kośāḥ 
SA_GK19_bhago-6	na vākpāṇipādaṃ na copasthapāyū	na vāc pāṇi pādam na ca upastha pāyū 
SA_GK19_bhago-7	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham ||2||"""	cit ānanda rūpaḥ śiva ūham śiva ūham 
SA_GK19_bhago-8	"""na me dveṣarāgau  na me lobha mohau"	na me dveṣa rāgau na me lobha mohau 
SA_GK19_bhago-9	mado naiva me naiva mātsaryabhāvaḥ|	madaḥ nā eva me nā eva mātsarya bhāvaḥ 
SA_GK19_bhago-10	na dharmo na cārtho na kāmo na mokṣaḥ	na dharmaḥ na ca arthaḥ na kāmaḥ na mokṣaḥ 
SA_GK19_bhago-11	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham||3||"""	cit ānanda rūpaḥ 
SA_GK19_bhago-12	"""na puṇyaṃ  na pāpaṃ na saukhyaṃ na duḥkham"	na puṇyam na pāpam na saukhyam na duḥkham 
SA_GK19_bhago-13	na maṃtro na tīrtha na vedā na yajñāḥ|	na maṃtraḥ na tīrtha na vedāḥ na yajñāḥ 
SA_GK19_bhago-14	ahaṃ bhojanaṃ naiva bhojyaṃ na bhoktā	aham bhojanam na eva bhojyam na bhoktā 
SA_GK19_bhago-15	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham||4||"""	cit ānanda rūpaḥ 
SA_GK19_bhago-16	"""na me mṛtyuśaṃkā na me jātibhedaḥ"	na me mṛtyu śaṃkā na me jāti bhedaḥ 
SA_GK19_bhago-17	pitā naiva me naiva mātā na janma|	pitā na eva me na eva mātā na janma 
SA_GK19_bhago-18	na bandhurna mitraṃ gururnaiva śiṣyaḥ	na bandhuḥ na mitram guruḥ na eva śiṣyaḥ 
SA_GK19_bhago-19	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham ||5||"""	cit ānanda rūpaḥ śiva ūham śiva ūham 
SA_GK19_bhago-20	"""ahaṃ nirvikalpo nirākārarūpaḥ"	aham nirvikalpaḥ nirākāra rūpaḥ 
SA_GK19_bhago-21	vibhurvyāpya sarvatra sarvendriyāṇām|	vibhuḥ vyāpya sarvatra sarva indriyāṇām 
SA_GK19_bhago-22	sadā me samatvaṃ na muktirna bandhaḥ	sadā me samatvam na muktiḥ na bandhaḥ 
SA_GK19_bhago-23	"cidānaṃdarūpaḥ śivo'haṃ śivo'ham||6||"""	cit ānanda rūpaḥ 
SA_GK19_bhago-24	"""ātmecchā vyavasīyatāṃ nija gṛhāttūrṇaṃ vinirgamyatām||1||"""""""	ātma icchā vyavasīyatām nija gṛhāt tūrṇam 
SA_GK19_bhago-25	"""saṃgaḥ satsu  vidhīyatāṃ bhagavato bhakti: dṛḍhā''dhīyatāṃ,"	saṃgaḥ satsu vidhīyatām bhagavataḥ bhakti dṛḍhā ādhīyatām 
SA_GK19_bhago-26	śāntyādiḥ paricīyatāṃ dṛḍhataraṃ  karmāśu saṃtyajyatām|	śānti ādiḥ paricīyatām dṛḍhataram karma āśu saṃtyajyatām 
SA_GK19_bhago-27	sadvidvānupasṛpyatāṃ pratidinaṃ tatpādukā sevyatāṃ,	sat vidvān upasṛpyatām pratidinam tad pādukā sevyatām 
SA_GK19_bhago-28	"brahmaikākṣaramarthyatāṃ śrutiśirovākyaṃ samākarṇyatām||2||"""	brahma ekākṣaram arthya tām śruti śiraḥ vākyam 
SA_GK19_bhago-29	"""vākyārthaśca vicāryatāṃ śrutiśiraḥpakṣaḥ samāśrīyatāṃ,"	vākya arthaḥ ca vicāryatām śrutiśiraḥ pakṣaḥ samāśrīyatām 
SA_GK19_bhago-30	dustarkāt suviramyatāṃ śrutimatastarko'nusaṃdhīyatām|	dustarkāt su viramyatām śrutimataḥ tarkaḥ anusaṃdhīyatām 
SA_GK19_bhago-31	bramhāsmīti vibhāvyatā-maharahargarvaḥ parityajyatām	bramhā asmi iti vibhāvyatām aharahar garvaḥ parityajyatām 
SA_GK19_bhago-32	"dehe'haṃmati rujhyatāṃ budhajanairvādaḥ parityajyatām||3||"""	deha ihaṃmati rujhyatām budha janaiḥ vādaḥ 
SA_GK19_bhago-33	"""kṣudvyādhiśca cikitsyatāṃ pratidinaṃ bhikṣauṣadhaṃ bhujyatāṃ,"	kṣudh vyādhiḥ ca cikitsyatām pratidinam bhikṣā auṣadham bhujyatām 
SA_GK19_bhago-34	svādvannaṃ na tu yācyatāṃ vidhivaśāt prāptena saṃtuṣyatām|	svādu annam na tu yācyatām vidhi vaśāt prāptena saṃtuṣyatām 
SA_GK19_bhago-35	"śītoṣṇādi viṣahyatāṃ na tu vṛthā vākyaṃ samuccāryatāṃ audāsīnyamabhīpsyatāṃ janakṛpānaiṣṭhuryamutsṛjyatām||4||"""	śīta uṣṇa ādi viṣahyatām na tu vṛthā vākyam samuccāryatām audāsīnyam abhīpsyatām 
SA_GK19_bhago-36	"""ekānte sukhamāsyatāṃ paratare cetaḥ samādhīyatāṃ"	ekānte sukham āsyatām paratare cetaḥ samādhīyatām 
SA_GK19_bhago-37	pūrṇātmā susamīkṣyatāṃ jagadidaṃ tadvādhitaṃ dṛśyatām|	pūrṇātmā su samīkṣyatām jagat idam tat vādhitam dṛśyatām 
SA_GK19_bhago-38	"prākkarma pravilāpyatāṃ citibalānnāpyuttaraiḥ śliśyatāṃ prārabdhaṃ tviha bhujyatāmatha parabrahmātmanā sthīyatām||5||"""	prāk karma pravilāpyatām citi balāt nā api uttaraiḥ śliśyatām prārabdham tu iha bhujyatām atha para brahma ātmanā 
SA_GK19_bhago-39	"""tasmai śrīgurumūrtaye nama idaṃ śrīdakṣiṇāmūrtaye ||1||"""""""	tasmai śrī guru mūrtaye namaḥ idam śrī dakṣiṇāmūrtaye 
SA_GK19_bhago-40	"""bījasyāntarivānkuro jagadidaṃ prāṅanirvikalpaṃ puna-"	bījasya antar ivān kuro jagat idam prāk a nirvikalpam punar 
SA_GK19_bhago-41	rmāyākalpitadeśakālakalanāvaicitryacitrīkṛtam|	                 
SA_GK19_bhago-42	māyāvīva vijṝmbhayatyapi mahāyogova yaḥ svecchayā	māyāvī iva vijṝmbhayati api mahā yogaḥ uva yaḥ sva icchayā 
SA_GK19_bhago-43	"tasmai śrīgurumūrtaye nama idaṃ śrīdakṣiṇāmūrtaye ||2||"""	tasmai śrī guru mūrtaye namaḥ idam śrī dakṣiṇāmūrtaye 
SA_GK19_bhago-44	"""yasyaiva sphuraṇaṃ sadātmakamasatkalpārthakaṃ bhāsate"	yasya eva sphuraṇam sat ātmakam asat kalpa arthakam bhāsate 
SA_GK19_bhago-45	sākṣāttattvamasīti vedavacasā yo bodhayatyāśritān|	sākṣāt tat tvam asi iti veda vacasā yaḥ bodhayati āśritān 
SA_GK19_bhago-46	yatsākṣātkaraṇādbhavenna punarāvṛttirbhavāmbhonidhau	yat sākṣāt karaṇāt bhavet na punarāvṛttiḥ bhava ambhonidhau 
SA_GK19_bhago-47	"tasmai śrīgurumūrtaye nama idaṃ śrīdakṣiṇāmūrtaye ||3||"""	tasmai śrī guru mūrtaye namaḥ idam śrī dakṣiṇāmūrtaye 
SA_GK19_bhago-48	"""nānācchidraghaṭodarastitha-mahādīpaprabhābhāsvaraṃ"	nānā chidra ghaṭa udara stitha mahā dīpa prabhā bhāsvaram 
SA_GK19_bhago-49	jñānaṃ yasya tu cakṣurādikaraṇadvārā bahiḥ spandate|	jñānam yasya tu cakṣuḥ ādi karaṇa dvārā bahis spandate 
SA_GK19_bhago-50	jānāmīti tameva bhāṃtamanu-bhātyetatsamastaṃ jagat	jānāmi iti tam eva anubhāti etat samastam jagat 
SA_GK19_bhago-51	"tasmai śrīgurumūrtaye nama idaṃ śrīdakṣiṇāmūrtaye ||4||"""	tasmai śrī guru mūrtaye namaḥ idam śrī dakṣiṇāmūrtaye 
