segmentnr	original	analyzed
SA_T01_n894u-0	mahogratārāṣṭakastotram	mahā ugra tārā aṣṭaka stotram 
SA_T01_n894u-1	mātarnīlasarasvati praṇamatāṃ saubhāgyasampatprade	mātar nīlasarasvati praṇamatām saubhāgya sampad prade 
SA_T01_n894u-2	pratyālīḍhapadasthite śavahṛdi smerānanāmbhoruhe |	pratyālīḍha pada sthite śava hṛdi smera ānana ambhoruhe 
SA_T01_n894u-3	phullendīvaralocanatrayayute kartīkapālotpale	phulla indīvara locana traya yute kartī kapāla utpale 
SA_T01_n894u-4	khaḍgaṃ cādadhatī tvameva śaraṇaṃ tvāmīśvarīmāśraye || 1 ||	khaḍgam ca ādadhatī tvam eva śaraṇam tvām īśvarīm āśraye  /
SA_T01_n894u-5	vācāmīśvari bhaktakalpalatike sarvārthasiddhīśvari	                 
SA_T01_n894u-6	sadyaḥ prākṛtagadyapadyaracanāsarvārthasiddhiprade |	sadyas prākṛta gadya padya racanā sarva artha siddhi prade 
SA_T01_n894u-7	nīlendīvaralocanatrayayute kāruṇyavārāṃnidhe	nīla indīvara locana traya yute kāruṇya vārāṃnidhe 
SA_T01_n894u-8	saubhāgyāmṛtavarṣaṇena kṛpayā siñca tvamasmādṛśam || 2 ||	saubhāgya amṛta varṣaṇena kṛpayā siñca tvam asmādṛśam 
SA_T01_n894u-9	kharve garvasamahapūritatano sarpādibhūṣojjvale	kharve sarpa ādi bhūṣā ujjvale 
SA_T01_n894u-10	vyāghratvakparivītasundarakaṭivyādhūtaghaṇṭāṅkite |	vyāghra tvac parivīta sundara kaṭi vyādhūta ghaṇṭā aṅkite 
SA_T01_n894u-11	sadyaḥkṛttagaladrajaḥparilasanmuṇḍadvayīmūrdhaja-	sadyas kṛtta galat rajaḥ parilasat muṇḍa dvayī mūrdhaja 
SA_T01_n894u-12	granthiśreṇinṛmuṇḍadāmalalite bhīme bhayaṃ nāśaya || 3 ||	granthi śreṇi nṛ muṇḍa dāma lalite bhīme bhayam nāśaya 
SA_T01_n894u-13	māyānaṅgavikārarūpalalanābindvardhacandrātmike	                         
SA_T01_n894u-14	huṃphaṭkāramayi tvameva śaraṇaṃ mantrātmike mādṛśaḥ |	huṃ phaṭkāra mayi tvam eva śaraṇam mantra ātmike mādṛśaḥ 
SA_T01_n894u-15	mūrtiste janani tridhāmaghaṭitā sthūlātisūkṣmā parā	mūrtiḥ te janani tridhāma ghaṭitā sthūlā ati sūkṣmā parā 
SA_T01_n894u-16	vedanāṃ nahi gocarā kathamapi prāptāṃ nu tāmāśraye || 4 ||	vedanām nahi gocarā katham api prāptām nu tām āśraye 
SA_T01_n894u-17	tvatpādāmbujasevayā sukṛtino gacchanti sāyujyatāṃ	tvad pāda ambuja sevayā sukṛtinaḥ gacchanti sāyujya tām 
SA_T01_n894u-18	tasya śrīparameśvarī trinayanabrahmādisaumyātmanaḥ |	tasya śrī parameśvarī trinayana brahma ādi saumya ātmanaḥ 
SA_T01_n894u-19	saṃsārāmbudhimajjane paṭutanūn devendramukhyān surān	              
SA_T01_n894u-20	mātastvatpadasevane hi vimukhān ko mandadhīḥ sevate || 5 ||	mātar tvad pada sevane hi vimukhān kaḥ manda dhīḥ sevate 
SA_T01_n894u-21	mātastvatpadapaṅkajadvayarajomudrāṅkakoṭīriṇa-	mātar tvad pada paṅkaja dvaya rajaḥ mudrā aṅka koṭīriṇa 
SA_T01_n894u-22	ste devāsurasaṃgare vijayino niḥśaṅkamaṅke gatāḥ |	ste deva asura saṃgare vijayinaḥ niḥśaṅkam aṅke gatāḥ 
SA_T01_n894u-23	devo'haṃ bhuvane na me sama iti sparddhāṃ vahantaḥ pare	devaḥ uham bhuvane na me samaḥ iti sparddhām vahantaḥ pare 
SA_T01_n894u-24	tattulyā niyataṃ tathā ciramamī nāśaṃ vrajanti svayam || 6 ||	tad tulyāḥ niyatam tathā ciram amī nāśam vrajanti svayam 
SA_T01_n894u-25	tvannāmasmaraṇāt palāyanaparā draṣṭuṃ ca śaktā na te	tvad nāma smaraṇāt palāyana parāḥ draṣṭum ca śaktāḥ na te 
SA_T01_n894u-26	bhūtapretapiśācarākṣasagaṇā yakṣāśca nāgādhipāḥ |	bhūta preta piśāca rākṣasa gaṇāḥ yakṣāḥ ca nāga adhipāḥ 
SA_T01_n894u-27	daityā dānavapuṅgavāśca khacarā vyāghrādikā jantavo	daityāḥ dānava puṅgavāḥ ca khacarāḥ vyāghra ādikāḥ 
SA_T01_n894u-28	ḍākinyaḥ kupitāntakāśca manujā mātaḥ kṣaṇaṃ bhūtale || 7 ||	ḍākinyaḥ kupita antakāḥ ca manujāḥ mātar kṣaṇam bhū tale 
SA_T01_n894u-29	lakṣmīḥ siddhagaṇāśca pādukamukhāḥ siddhāstathā vāriṇāṃ	lakṣmīḥ siddha gaṇāḥ ca pāduka mukhāḥ siddhāḥ tathā 
SA_T01_n894u-30	stambhaścāpi raṇāṅgaṇe gajaghaṭāstambhastathā mohanam |	stambhaḥ ca api raṇa aṅgaṇe gaja ghaṭā stambhaḥ tathā mohanam 
SA_T01_n894u-31	mātastvatpadasevayā khalu nṛṇāṃ siddhyanti te te guṇāḥ	mātar tvad pada sevayā khalu nṛṇām siddhi anti te te guṇāḥ 
SA_T01_n894u-32	kāntiḥ kāntatarā bhavecca mahatī mūḍho'pi vācaspatiḥ || 8 ||	kāntiḥ kāntatarā bhavet ca mahatī mūḍhaḥ api vācaspatiḥ 
SA_T01_n894u-33	tārāṣṭakamidaṃ ramyaṃ bhaktimān yaḥ paṭhennaraḥ |	tārāṣṭakam idam ramyam bhaktimān yaḥ paṭhet naraḥ 
SA_T01_n894u-34	prātarmadhyāhnakāle ca sāyāhne niyataḥ śuciḥ || 9 ||	prātar madhyāhna kāle ca sāyāhne niyataḥ śuciḥ 
SA_T01_n894u-35	labhate kavitāṃ divyāṃ sarvaśāstrārthavid bhavet |	labhate kavi tām divyām sarva śāstra artha vid bhavet 
SA_T01_n894u-36	lakṣmīmanaśvarāṃ prāpya bhuktvā bhogān yathepsitān || 10 ||	lakṣmīm anaśvarām prāpya bhuktvā bhogān yathā īpsitān 
SA_T01_n894u-37	kīrti kāntiṃ ca nairujyaṃ sarveṣāṃ priyatāṃ vrajet |	kīrti kāntim ca nairujyam sarveṣām priya tām vrajet 
SA_T01_n894u-38	vikhyātiṃ caiva lokeṣu prāpyānte mokṣamāpnuyāt || 11 ||	vikhyātim ca eva lokeṣu prāpya ante mokṣam āpnuyāt 
SA_T01_n894u-39	śrīmahogratārāṣṭakastotraṃ samāptam |	śrī mahā ugra tārā aṣṭaka stotram samāptam 
