segmentnr	original	analyzed
SA_XX_bowermsu-0	I. Fol. 1: Bower manuscript	bower manuscript 
SA_XX_bowermsu-1	v1 oṃ devarṣisiddhagaṇakinnaranāgayakṣavidyādharādhyuṣitasānur anantaratnaḥ /	om deva ṛṣi siddha gaṇa kinnara nāga yakṣa vidyādhara adhyuṣita sānuḥ ananta ratnaḥ 
SA_XX_bowermsu-2	puṇyas tripiṣṭapataloddhṛtadevaramyaḥ _ _ ^ _ ^ ^ ^ _ ^ ^ _	            
SA_XX_bowermsu-3	2 n udagraḥ // 1 // yatra sphuṭanmaṇisahasramayūkhajālavikṣobhitaṃ daśasu dikṣu bhayāt pralinam* /	n udagraḥ     yatra sphuṭat maṇi sahasra mayūkha jāla vikṣobhitam daśasu dikṣu bhayāt pralinam 
SA_XX_bowermsu-4	candroḍusūryahutabhuṅnilayābhiśaṃki prāvṛḍniśāsv	candra uḍu sūrya hutabhuj nilaya abhiśaṃki prāvṛṣ niśāsu 
SA_XX_bowermsu-5	3 api punar na tamo 'bhyupaiti // 2 //	api punar na tamaḥ bhyupaiti 
SA_XX_bowermsu-6	yaḥ sevyate munigaṇair aniśaṃ saśiṣyair naikaiḥ samitkuśaphalodakapuṣpahastaiḥ /	yaḥ sevyate muni gaṇaiḥ aniśam sa śiṣyaiḥ na ekaiḥ samidh kuśa phala udaka puṣpa hastaiḥ 
SA_XX_bowermsu-7	svargāṅganābhir api ca pravimṛṣṭaśākhāḥ	svarga aṅganābhiḥ api ca pravimṛṣṭa śākhāḥ 
SA_XX_bowermsu-8	4 kuṃjeṣu yasya taravaḥ kusumārthinībhiḥ // 3 //	kuñjeṣu yasya taravaḥ kusuma arthinībhiḥ 
SA_XX_bowermsu-9	yatra trilocanajaṭāmukuṭaikadeśa nityasthitoḍupatidīdhitisaṃprayogāt* /	yatra trilocana jaṭā mukuṭa eka deśa nitya sthita uḍupati dīdhiti saṃprayogāt 
SA_XX_bowermsu-10	śītau divāpi himavatsphaṭikopalābham ambv	śītau divā api himavat sphaṭika upala ābham ambu 
