segmentnr	original	analyzed
SA_GSP30_spandkau-0	prathamo niḥṣyandaḥ	prathamaḥ niḥṣyandaḥ 
SA_GSP30_spandkau-1	yasyonmeṣanimeṣābhyāṃ jagataḥ pralayodayau /	yasya unmeṣa nimeṣābhyām jagataḥ pralaya udayau 
SA_GSP30_spandkau-2	taṃ śakticakravibhavaprabhavaṃ śaṅkaraṃ stumaḥ // 1 //	tam śakti cakra vibhava prabhavam śaṅkaram stumaḥ 
SA_GSP30_spandkau-3	yatra sthitam idaṃ sarvaṃ kāryaṃ yasmāc ca nirgataṃ /	yatra sthitam idam sarvam kāryam yasmāt ca nirgatam 
SA_GSP30_spandkau-4	tasyānāvṛtarūpatvān na nirodho 'sti kutracit // 2 //	tasya anāvṛta rūpa tvāt na nirodhaḥ sti kutracid 
SA_GSP30_spandkau-5	jāgradādi vibhede 'pi tadabhinne prasarpati /	jāgrat ādi vibhede tat abhinne prasarpati 
SA_GSP30_spandkau-6	nivartate nijānnaiva svabhāvād upalabdhṛtaḥ // 3 //	nivartate nijāt nā eva svabhāvāt upalabdhṛtaḥ 
SA_GSP30_spandkau-7	ahaṃ sukhī ca duḥkhī ca raktaś ca ityadisamvidaḥ /	aham sukhī ca duḥkhī ca raktaḥ ca 
SA_GSP30_spandkau-8	sukhādyavasthānusyūte vartante 'nyatra tāḥ sphuṭam // 4 //	sukha ādi avasthā anusyūte vartante nyatra tāḥ sphuṭam 
SA_GSP30_spandkau-9	na duḥkhaṃ na sukhaṃ yatra na grāhyam grāhakaṃ na ca /	na duḥkham na sukham yatra na grāhyam grāhakam na ca 
SA_GSP30_spandkau-10	na cāsti mūḍhabhāvo 'pi tad asti paramārthataḥ // 5 //	na ca asti tat asti paramārthataḥ 
SA_GSP30_spandkau-11	yataḥ karaṇavargo 'yaṃ vimūḍho 'mūḍhavat svayam /	yatas karaṇa vargaḥ yam vimūḍhaḥ mūḍha vat svayam 
SA_GSP30_spandkau-12	sahāntareṇa cakreṇa pravṛttisthitisaṃhṛtiḥ // 6 //	saha antareṇa cakreṇa pravṛtti sthiti saṃhṛtiḥ 
SA_GSP30_spandkau-13	labhate tatprayatnena parīkṣyaṃ tattvam ādarāt /	labhate tat prayatnena parīkṣyam tattvam ādarāt 
SA_GSP30_spandkau-14	yataḥ svatantratā tasya sarvatreyam akṛtrimā // 7 //	yatas svatantra tā tasya sarvatra iyam akṛtrimā 
SA_GSP30_spandkau-15	na hīcchānodanasyāyam prerakatvena vartate /	na hi icchā nodanasya ayam preraka tvena vartate 
SA_GSP30_spandkau-16	api tv ātmabalasparśāt puruṣas tatsamo bhavet // 8 //	api tu ātma bala sparśāt puruṣaḥ tad samaḥ bhavet  /
SA_GSP30_spandkau-17	nijāśuddhyāsamarthasya kartavyeṣv abhilāṣiṇaḥ /	nija aśuddhyā asamarthasya kartavyeṣu abhilāṣiṇaḥ 
SA_GSP30_spandkau-18	yadā kṣobhaḥ pralīyeta tadā syāt paramam padam // 9 //	yadā kṣobhaḥ pralīyeta tadā syāt paramam padam 
SA_GSP30_spandkau-19	tadāsyākṛtrimo dharmo jñatvakartṛtvalakṣaṇah /	tadā asya akṛtrimaḥ dharmaḥ jña tva kartṛ tva lakṣaṇaḥ 
SA_GSP30_spandkau-20	yatas tadepsitaṃ sarvaṃ jānāti ca karoti ca // 10 //	yatas tadā īpsitam sarvam jānāti ca karoti ca 
SA_GSP30_spandkau-21	tam adhiṣṭhātṛbhāvena svabhāvam avalokayan /	tam adhiṣṭhātṛ bhāvena svabhāvam avalokayan 
SA_GSP30_spandkau-22	smayamāna ivāste yas tasyeyaṃ kusṛtiḥ kutaḥ // 11 //	smayamānaḥ iva āste yaḥ tasya iyam kusṛtiḥ kutas  /
SA_GSP30_spandkau-23	nābhāvo bhāvyatām eti na ca tatrāsty amūḍhatā /	na abhāvaḥ bhāvyatām eti na ca tatra asti amūḍha tā 
SA_GSP30_spandkau-24	yato 'bhiyogasaṃsparśāt tadāsid iti niścayah // 12 //	yatas bhiyoga saṃsparśāt tadā asit iti niścayaḥ 
SA_GSP30_spandkau-25	atas tatkṛtrimaṃ jñeyaṃ sauṣuptapadavat sadā /	atas tat kṛtrimam jñeyam sauṣupta pada vat sadā 
SA_GSP30_spandkau-26	na tv evaṃ smaryamāṇatvaṃ tat tattvam pratipadyate // 13 //	na tu evam smaryamāṇa tvam tat tattvam pratipadyate  /
SA_GSP30_spandkau-27	avasthāyugalaṃ cātra kāryakartṛtvaśabditam /	avasthā yugalam ca atra kārya kartṛ tva śabditam 
SA_GSP30_spandkau-28	kāryatā kṣayiṇī tatra kartṛtvam punar akṣayam // 14 //	kārya tā kṣayiṇī tatra kartṛ tvam punar akṣayam 
SA_GSP30_spandkau-29	kāryonmukhaḥ prayatno yaḥ kevalaṃ so 'tra lupyate /	kārya unmukhaḥ prayatnaḥ yaḥ kevalam lupyate 
SA_GSP30_spandkau-30	tasmin lupte vilupto 'smīty abudhaḥ pratipadyate // 15 //	tasmin lupte viluptaḥ smi iti abudhaḥ pratipadyate 
SA_GSP30_spandkau-31	na tu yo 'ntarmukho bhāvah sarvajñātvaguṇāspadam /	na tu yaḥ ntarmukhaḥ sarvajñātva guṇa āspadam 
SA_GSP30_spandkau-32	tasya lopaḥ kadācit syād anyasyānupalambhanāt // 16 //	tasya lopaḥ kadācid syāt anyasya anupalambhanāt 
SA_GSP30_spandkau-33	tasyopalabdhiḥ satataṃ tripadāvyabhicāriṇī /	tasya upalabdhiḥ satatam tripada avyabhicāriṇī 
SA_GSP30_spandkau-34	nityaṃ syāt suprabuddhasya tadādyante parasya tu // 17 //	nityam syāt su prabuddhasya tad ādi ante parasya tu 
SA_GSP30_spandkau-35	jñānajñeyasvarūpiṇyā śaktyā paramayā yutaḥ /	jñāna jñeya svarūpiṇyā śaktyā paramayā yutaḥ 
SA_GSP30_spandkau-36	padadvaye vibhur bhāti tadanyatra tu cinmayaḥ // 18 //	pada dvaye vibhuḥ bhāti tad anyatra tu cit mayaḥ 
SA_GSP30_spandkau-37	guṇādispandaniḥṣyandāḥ sāmānyaspandasaṃśrayāt /	guṇa ādi spanda niḥṣyandāḥ sāmānya spanda saṃśrayāt 
SA_GSP30_spandkau-38	labdhātmalābhaḥ satataṃ syur jñasyāparipanthinaḥ // 19 //	labdha ātmalābhaḥ satatam syuḥ jñasya aparipanthinaḥ 
SA_GSP30_spandkau-39	aprabudhadhiyas tv ete svasthitisthaganodyatāḥ /	aprabudha dhiyaḥ tu ete sva sthiti sthagana udyatāḥ 
SA_GSP30_spandkau-40	pātayanti duruttāre ghore saṃsāravartmani // 20 //	pātayanti duruttāre ghore saṃsāra vartmani 
SA_GSP30_spandkau-41	ataḥ satatam udyuktaḥ spandatattvaviviktaye /	atas satatam udyuktaḥ spanda tattva viviktaye 
SA_GSP30_spandkau-42	jāgrad eva nijam bhāvam acireṇādhigacchati // 21 //	jāgrat eva nijam bhāvam acireṇa adhigacchati 
SA_GSP30_spandkau-43	atikruddhaḥ prahṛṣṭo vā kiṃ karomīti vā mṛśan /	ati kruddhaḥ prahṛṣṭaḥ vā kim karomi iti vā mṛśan 
SA_GSP30_spandkau-44	dhāvan va yat padaṃ gacchet tatra spandaḥ pratiṣṭhitaḥ // 22 //	dhāvan yat padam gacchet tatra spandaḥ pratiṣṭhitaḥ  /
SA_GSP30_spandkau-45	yām avasthāṃ samālambya yad ayam mama vakṣyati /	yām avasthām samālambya yat ayam mama vakṣyati 
SA_GSP30_spandkau-46	tadavaśyaṃ kariṣye 'ham iti saṃkalpya tiṣṭhati // 23 //	tat avaśyam kariṣye ham iti saṃkalpya tiṣṭhati 
SA_GSP30_spandkau-47	tām aśrityordhvamārgeṇa candrasūryāv ubhāv api /	tām a śritya ūrdhva mārgeṇa candra sūryau ubhau api 
SA_GSP30_spandkau-48	sauṣumne 'dhvanyastamito hitvā brahmā.ṅdagocaram // 24 //	sauṣumne dhvanyaḥ tamitaḥ hitvā brahma aṅda gocaram 
SA_GSP30_spandkau-49	tadā tasmin mahāvyomni pralīnaśaśibhāskare /	tadā tasmin mahā vyomni pralīna śaśi bhāskare 
SA_GSP30_spandkau-50	sauṣuptapadavan mūḍhaḥ prabuddhaḥ syād anāvṛtaḥ // 25 //	sauṣupta pada vat mūḍhaḥ prabuddhaḥ syāt anāvṛtaḥ  /
SA_GSP30_spandkau-51	dvitīyo niḥṣyandaḥ	dvitīyaḥ niḥṣyandaḥ 
SA_GSP30_spandkau-52	tadākramya balam mantrāḥ sarvajñābalaśālinaḥ /	tat ākramya balam mantrāḥ sarvajñā bala śālinaḥ 
SA_GSP30_spandkau-53	pravartante 'dhikārāya karaṇānīva dehinām // 1 //	pravartante dhikārāya karaṇāni iva dehinām 
SA_GSP30_spandkau-54	tatraiva sampralīyante śāntarūpā nirañjanāḥ /	tatra eva sampralīyante śānta rūpāḥ nirañjanāḥ 
SA_GSP30_spandkau-55	sahārādhakacittena tenaite śivadharmiṇaḥ // 2 //	saha ārādhaka cittena tena ete śiva dharmiṇaḥ 
SA_GSP30_spandkau-56	yasmāt sarvamayo jīvaḥ sarvabhāvasamudbhavāt /	yasmāt sarva mayaḥ jīvaḥ sarva bhāva samudbhavāt 
SA_GSP30_spandkau-57	tatsaṃvedanarūpeṇa tādātmyapratipattitaḥ // 3 //	tad saṃvedana rūpeṇa tādātmya pratipattitaḥ 
SA_GSP30_spandkau-58	tasmāc chabdārthacintāsu na sāvasthā na yā śivaḥ /	tasmāt śabda artha cintāsu na sā avasthā na yā śivaḥ 
SA_GSP30_spandkau-59	bhoktaiva bhogyabhāvena sadā sarvatra saṃsthitaḥ // 4 //	bhoktā eva bhogya bhāvena sadā sarvatra saṃsthitaḥ 
SA_GSP30_spandkau-60	iti vā yasya saṃvittiḥ krīḍātvenākhilaṃ jagat /	iti vā yasya saṃvittiḥ krīḍā tvena akhilam jagat 
SA_GSP30_spandkau-61	sa paśyan satataṃ yukto jīvanmukto na saṃśayaḥ // 5 //	sa paśyan satatam yuktaḥ jīvanmuktaḥ na saṃśayaḥ 
SA_GSP30_spandkau-62	ayam evodayas tasya dhyeyasya dhyāyicetasi /	ayam eva udayaḥ tasya dhyeyasya dhyāyi cetasi 
SA_GSP30_spandkau-63	tadātmatāsamāpattir icchataḥ sādhakasya yā // 6 //	tad ātmatā samāpattiḥ icchataḥ sādhakasya yā 
SA_GSP30_spandkau-64	iyam evāmṛtaprāptir ayam evātmano grahaḥ /	iyam eva amṛta prāptiḥ ayam eva ātmanaḥ grahaḥ 
SA_GSP30_spandkau-65	iyaṃ nirvāṇa-dīkṣā ca śivasadbhāvadāyini // 7 //	iyam nirvāṇa dīkṣā ca śiva sadbhāva dāyini 
SA_GSP30_spandkau-66	tṛtīyo niḥṣyandaḥ	tṛtīyaḥ niḥṣyandaḥ 
SA_GSP30_spandkau-67	yathecchābhyarthito dhātā jāgrato 'rthān hṛdi sthitān	yathā icchā abhyarthitaḥ dhātā jāgrataḥ rthān hṛdi sthitān 
SA_GSP30_spandkau-68	somasūryodayaṃ kṛtvā sampādayati dehinaḥ // 1 /	soma sūrya udayam kṛtvā sampādayati dehinaḥ 
SA_GSP30_spandkau-69	tathā svapne 'py abhīṣṭārthān praṇayasyānatikramāt /	tathā svapne pi abhīṣṭa arthān praṇayasya anatikramāt 
SA_GSP30_spandkau-70	nityaṃ sphuṭataraṃ madhye sthito 'vaśyaṃ prakāśayet // 2 //	nityam sphuṭataram madhye sthitaḥ vaśyam prakāśayet  /
SA_GSP30_spandkau-71	anyathā tu svatantrā syāt sṛṣṭis taddharmakatvataḥ /	anyathā tu svatantrā syāt sṛṣṭiḥ tad dharmaka tvataḥ 
SA_GSP30_spandkau-72	satataṃ laukikasyeva jāgratsvapnapadadvaye // 3 //	satatam laukikasya iva jāgrat svapna pada dvaye 
SA_GSP30_spandkau-73	yathā hi artho 'sphuṭo dṛṣṭaḥ sāvadhāne 'pi cetasi /	yathā hi sphuṭaḥ dṛṣṭaḥ sāvadhāne cetasi 
SA_GSP30_spandkau-74	bhūyaḥ sphuṭataro bhāti svabalodyogabhāvitaḥ // 4 //	bhūyas sphuṭataraḥ bhāti sva bala udyoga bhāvitaḥ 
SA_GSP30_spandkau-75	tathā yat paramārthena yena yatra yathā sthitam /	tathā yat parama arthena yena yatra yathā sthitam 
SA_GSP30_spandkau-76	tat tathā balam ākramya na cirāt sampravartate // 5 //	tat tathā balam ākramya na cirāt sampravartate  /
SA_GSP30_spandkau-77	durbalo 'pi tadākramya yataḥ kārye pravartate /	durbalaḥ pi tat ākramya yatas kārye pravartate 
SA_GSP30_spandkau-78	ācchādayed bubhukṣāṃ ca tathā yo 'ti bubhukṣitaḥ // 6 //	ācchādayet bubhukṣām ca tathā yaḥ bubhukṣitaḥ 
SA_GSP30_spandkau-79	anenādhiṣṭhite dehe yathā sarvajñatādayaḥ /	anena adhiṣṭhite dehe yathā sarvajña tā ādayaḥ 
SA_GSP30_spandkau-80	tathā svātmany adhiṣṭhānāt sarvatraivam bhaviṣyati // 7 //	tathā sva ātmani adhiṣṭhānāt sarvatra evam bhaviṣyati  /
SA_GSP30_spandkau-81	glānir vilu.ṅthikā dehe tasyāścājñānataḥ sṛtiḥ /	glāniḥ viluṅthikā dehe tasyāḥ ca ajñānataḥ sṛtiḥ 
SA_GSP30_spandkau-82	tad unmeṣaviluptaṃ cet kutaḥ sā syād ahetukā // 8 //	tat unmeṣa viluptam ced kutas sā syāt ahetukā 
SA_GSP30_spandkau-83	ekacintāprasaktasya yataḥ syād aparodayaḥ /	eka cintā prasaktasya yatas syāt apara udayaḥ 
SA_GSP30_spandkau-84	unmeṣaḥ sa tu vijñeyaḥ svayaṃ tam upalakṣayet // 9 //	unmeṣaḥ sa tu vijñeyaḥ svayam tam upalakṣayet  /
SA_GSP30_spandkau-85	ato bindur ato nādo rūpam asmād ato rasaḥ /	atas binduḥ atas nādaḥ rūpam asmāt atas rasaḥ 
SA_GSP30_spandkau-86	pravartante 'cireṇaiva kṣobhakatvena dehinaḥ // 10 //	pravartante cireṇa eva kṣobhaka tvena dehinaḥ 
SA_GSP30_spandkau-87	didṛkṣayeva sarvārthān yadā vyāpyāvatiṣṭhate /	didṛkṣayā iva sarva arthān yadā vyāpya avatiṣṭhate 
SA_GSP30_spandkau-88	tadā kiṃ bahunoktena svayam eva avabhotsyate // 11 //	tadā kim bahunā uktena svayam eva avabhotsyate 
SA_GSP30_spandkau-89	prabuddhaḥ sarvadā tiṣṭhej jñānenālokya gocaram /	prabuddhaḥ sarvadā tiṣṭhet jñānena ālokya gocaram 
SA_GSP30_spandkau-90	ekatrāropayet sarvaṃ tato 'nyena na pīḍyate // 12 //	ekatra āropayet sarvam tatas nyena na pīḍyate   
SA_GSP30_spandkau-91	śabdarāśisamutthasya śaktivargasya bhogyatām /	śabdarāśi samutthasya śakti vargasya bhogya tām 
SA_GSP30_spandkau-92	kalāviluptavibhavo gataḥ san sa paśuḥ smṛtaḥ // 13 //	kalā vilupta vibhavaḥ gataḥ san sa paśuḥ smṛtaḥ 
SA_GSP30_spandkau-93	parāmṛtarasāpāyas tasya yaḥ pratyayodbhavaḥ /	                    
SA_GSP30_spandkau-94	tenāsvatantratām eti sa ca tanmātragocaraḥ // 14 //	tena asvatantra tām eti sa ca tanmātra gocaraḥ 
SA_GSP30_spandkau-95	svarūpāvaraṇe cāsya śaktayaḥ satatotthitāḥ /	sva rūpa āvaraṇe ca asya śaktayaḥ satata utthitāḥ 
SA_GSP30_spandkau-96	yataḥ śabdānuvedhena na vinā pratyayodbhavaḥ // 15 //	yatas śabda anuvedhena na vinā pratyaya udbhavaḥ 
SA_GSP30_spandkau-97	seyaṃ kriyātmikā śaktiḥ śivasya paśuvartinī /	sā iyam kriyā ātmikā śaktiḥ śivasya paśu vartinī 
SA_GSP30_spandkau-98	bandhayitrī svamārgasthā jñāta siddhyupapādikā // 16 //	           
SA_GSP30_spandkau-99	tanmātrodayarūpena mano 'haṃbuddhivartinā /	tanmātra udaya rūpena manaḥ haṃ buddhi vartinā 
SA_GSP30_spandkau-100	puryaṣṭakena saṃruddhas taduttham pratyayodbhavam // 17 //	puryaṣṭakena saṃruddhaḥ tad uttham pratyaya udbhavam 
SA_GSP30_spandkau-101	bhuṅkte paravaśo bhogaṃ tadbhāvāt saṃsared ataḥ /	bhuṅkte para vaśaḥ bhogam tad bhāvāt saṃsaret atas 
SA_GSP30_spandkau-102	saṃsṛtipralayasyāsya kāraṇaṃ sampracakṣmahe // 18 //	saṃsṛti pralayasya asya kāraṇam sampracakṣmahe 
SA_GSP30_spandkau-103	yadā tv ekatra saṃrūḍhas tadā tasya layodayau /	yadā tu ekatra saṃrūḍhaḥ tadā tasya laya udayau 
SA_GSP30_spandkau-104	niyacchan bhoktṛtām eti tataś cakreśvaro bhavet // 19 //	niyacchan bhoktṛ tām eti tatas cakreśvaraḥ bhavet 
SA_GSP30_spandkau-105	caturtho niḥṣyandaḥ	caturthaḥ niḥṣyandaḥ 
SA_GSP30_spandkau-106	agādhasaṃśayāmbhodhisamuttaraṇatārinīm /	agādha saṃśaya ambhodhi samuttaraṇa tārinīm 
SA_GSP30_spandkau-107	vande vicitrārthapadāṃ citrāṃ tāṃ gurubhāratīm // 1 //	vande vicitra artha padām citrām tām guru bhāratīm 
SA_GSP30_spandkau-108	labdhvāpy alabhyam etaj jñānadhanaṃ hṛdguhāntakṛtanihiteḥ /	labdhvā api alabhyam etat jñāna dhanam hṛd guhā anta kṛta nihiteḥ 
SA_GSP30_spandkau-109	vasuguptavac chivāya hi bhavati sadā sarvalokasya // 2 // @------------------------------------------------------------------------	vasugupta vat śivāya hi bhavati sadā sarva lokasya 
SA_GSP30_spandkau-110	Gandharva-nagaram /	gandharvanagaram 
SA_GSP30_spandkau-111	DSO Sanskrit Archive	dso sanskrit archive 
