segmentnr	original	analyzed
SA_GV00_avs-0	ye triṣaptāḥ pariyanti viśvā rūpāṇi bibhrataḥ  / vācaḥ patiḥ balā teṣām tanvaḥ adya dadhātu me  /	ye triṣaptāḥ pariyanti viśvā rūpāṇi bibhrataḥ   vācaḥ patiḥ balā teṣām tanvaḥ adya dadhātu me  /
SA_GV00_avs-1	punar ehi vacaḥ pate devena manasā saha  / vasoḥ pate ni ramaya mayi eva astu mayi śrutam  /	punar ehi vacaḥ pate devena manasā saha    vasoḥ pate ni ramaya mayi eva astu mayi śrutam  /
SA_GV00_avs-2	iha eva abhi vi tanūbhe ārtnī iva jyayā  / vācaḥ patiḥ ni yacchatu mayi eva astu mayi śrutam  //	iha eva abhi vi tanū ubhe ārtnī iva jyayā    vācaḥ patiḥ ni yacchatu mayi eva astu mayi śrutam  /
SA_GV00_avs-3	upahūtaḥ vācaḥ patiḥ upa asmān vācaspatiḥ hvayatām  / sam śrutena gamemahi mā śrutena vi rādhiṣi  //	upahūtaḥ vācaḥ patiḥ upa asmān vācaspatiḥ hvayatām    sam śrutena gamemahi mā śrutena vi rādhiṣi  /
SA_GV00_avs-4	vidma śarasya pitaram parjanyam bhūri dhāyasam  / vidma u su asya mātaram pṛthivīm bhūri varpasam  /	vidma śarasya pitaram parjanyam bhūri dhāyasam   vidma u su asya mātaram pṛthivīm bhūri varpasam  /
SA_GV00_avs-5	jyāke pari naḥ nama aśmānam tanvam kṛdhi  / vīḍuḥ varīyaḥ arātīḥ apa dveṣāṃsi ā kṛdhi  //	jyāke pari naḥ nama aśmānam tanvam kṛdhi   vīḍuḥ varīyaḥ arātīḥ apa dveṣāṃsi ā kṛdhi  /
SA_GV00_avs-6	vṛkṣam yat gāvaḥ pariṣasvajānāḥ anusphuram śaram arcanti ṛbhum  / śarum asmat yāvaya didyum indra  /	vṛkṣam yat gāvaḥ pariṣasvajānāḥ anusphuram śaram arcanti ṛbhum   śarum asmat yāvaya didyum indra  /
SA_GV00_avs-7	yathā dyām ca pṛthivīm ca antar tiṣṭhati tejanam  / eva rogam ca āsrāvam ca antar tiṣṭhatu muñjaḥ id  /	yathā dyām ca pṛthivīm ca antar tiṣṭhati tejanam   eva rogam ca āsrāvam ca antar tiṣṭhatu muñjaḥ id 
SA_GV00_avs-8	vidma śarasya pitaram parjanyam śata vṛṣṇyam  / tena te tanve śam karam pṛthivyām te niṣecanam bahis te astu bāl iti  /	vidma śarasya pitaram parjanyam śata vṛṣṇyam    tena te tanve śam karam pṛthivyām te niṣecanam bahis te astu bāl iti  /
SA_GV00_avs-9	vidma śarasya pitaram mitram śata vṛṣṇyam  / tena te tanve śam karam pṛthivyām te niṣecanam bahis te astu bāl iti  /	vidma śarasya pitaram mitram śata vṛṣṇyam   tena te tanve śam karam pṛthivyām te niṣecanam bahis te astu bāl iti  /
