segmentnr	original	analyzed
SA_GSP31_isvskaru-0	duḥkha-trayā'bhighātāj jijñāsā tad-apa1ghātake hetau	duḥkha traya abhighātāt jijñāsā hetau 
SA_GSP31_isvskaru-1	dṛṣṭe sā ^pā'rthā cen n' aikā'ntā'ty-antato .a-bhāvāt.	dṛṣṭe sā pārthā ced n ā ekānta atyantataḥ abhāvāt 
SA_GSP31_isvskaru-2	1 abhi M, G(A, D, G); ava J, S SK_2	abhi m ga d g ava j s 
SA_GSP31_isvskaru-3	dṛṣṭavad ānuśravikaḥ sa hy a-viśuddhi1 kṣayā'tiśaya-yuktaḥ	dṛṣṭa vat ānuśravikaḥ sa hi kṣaya atiśaya yuktaḥ 
SA_GSP31_isvskaru-4	tad-viparītaḥ śreyān vyaktā'-vyakta-jña-vijñānāt.	tad viparītaḥ śreyān vyakta avyakta jña vijñānāt 
SA_GSP31_isvskaru-5	1 aviśuddhaḥ M SK_3	aviśuddhaḥ sNM
SA_GSP31_isvskaru-6	mūla-prakṛtir a-vikṛtir mahad-ādyāḥ1 prakṛti-vikṛtayaḥ sapta	mūlaprakṛtiḥ avikṛtiḥ mahat ādyāḥ prakṛti vikṛtayaḥ sapta 
SA_GSP31_isvskaru-7	ṣoḍaśakas tu vikāro na prakṛtir na vikṛtiḥ puruṣaḥ.	ṣoḍaśakaḥ tu vikāraḥ na prakṛtiḥ na vikṛtiḥ puruṣaḥ 
SA_GSP31_isvskaru-8	1 ādyā V1, V2 SK_4	ādyā u sk 
SA_GSP31_isvskaru-9	dṛṣṭam anumānam āpta-vacanaṃ ca1 sarva-pramāṇa-siddhatvāt	dṛṣṭam anumānam āpta vacanam ca sarva pramāṇa siddha tvāt 
SA_GSP31_isvskaru-10	tri-vidhaṃ pramāṇam iṣṭaṃ prameya-siddhiḥ pramāṇād dhi.	trividham pramāṇam iṣṭam prameya siddhiḥ pramāṇāt hi 
SA_GSP31_isvskaru-11	1 āptaṃ vacanaṃ V (editor's emendation) SK_5	āpta vacanam v editors emendation sk
SA_GSP31_isvskaru-12	prati-viṣayā'dhyavasāyo dṛṣṭaṃ tri1-vidham anumānam ākhyātam	prati viṣaya adhyavasāyaḥ dṛṣṭam anumānam ākhyātam 
