segmentnr	original	analyzed
SA_GP10_bhp_09u-0	BhP_09.01.001/0 śrīrājovāca	śrī rājā uvāca 
SA_GP10_bhp_09u-1	BhP_09.01.001/1 manvantarāṇi sarvāṇi tvayoktāni śrutāni me	manvantarāṇi sarvāṇi tvayā uktāni śrutāni me 
SA_GP10_bhp_09u-2	BhP_09.01.001/2 vīryāṇyanantavīryasya harestatra kṛtāni ca	vīryāṇi ananta vīryasya hareḥ tatra kṛtāni ca 
SA_GP10_bhp_09u-3	BhP_09.01.002/1 yo 'sau satyavrato nāma rājarṣirdraviḍeśvaraḥ	sau satyavrataḥ nāma rājarṣiḥ draviḍa īśvaraḥ 
SA_GP10_bhp_09u-4	BhP_09.01.002/2 jñānaṃ yo 'tītakalpānte lebhe puruṣasevayā	jñānam lebhe puruṣa sevayā 
SA_GP10_bhp_09u-5	BhP_09.01.003/1 sa vai vivasvataḥ putro manurāsīditi śrutam	sa vai vivasvataḥ putraḥ manuḥ āsīt iti śrutam 
SA_GP10_bhp_09u-6	BhP_09.01.003/2 tvattastasya sutāḥ proktā ikṣvākupramukhā nṛpāḥ	tvattaḥ tasya sutāḥ proktāḥ ikṣvāku pramukhāḥ nṛpāḥ 
SA_GP10_bhp_09u-7	BhP_09.01.004/1 teṣāṃ vaṃśaṃ pṛthag brahman vaṃśānucaritāni ca	teṣām vaṃśam pṛthak brahman vaṃśānucaritāni ca 
SA_GP10_bhp_09u-8	BhP_09.01.004/2 kīrtayasva mahābhāga nityaṃ śuśrūṣatāṃ hi naḥ	kīrtayasva mahābhāga nityam śuśrūṣatām hi naḥ 
SA_GP10_bhp_09u-9	BhP_09.01.005/1 ye bhūtā ye bhaviṣyāśca bhavantyadyatanāśca ye	ye bhūtāḥ ye bhaviṣyāḥ ca bhavanti adyatanāḥ ca ye 
SA_GP10_bhp_09u-10	BhP_09.01.005/2 teṣāṃ naḥ puṇyakīrtīnāṃ sarveṣāṃ vada vikramān	teṣām naḥ puṇya kīrtīnām sarveṣām vada vikramān 
SA_GP10_bhp_09u-11	BhP_09.01.006/0 śrīsūta uvāca	śrī sūtaḥ uvāca 
SA_GP10_bhp_09u-12	BhP_09.01.006/1 evaṃ parīkṣitā rājñā sadasi brahmavādinām	evam parīkṣitāḥ rājñā sadasi brahma vādinām 
SA_GP10_bhp_09u-13	BhP_09.01.006/2 pṛṣṭaḥ provāca bhagavāñ chukaḥ paramadharmavit	pṛṣṭaḥ provāca bhagavān śukaḥ parama dharma vid 
SA_GP10_bhp_09u-14	BhP_09.01.007/0 śrīśuka uvāca	śrī śukaḥ uvāca 
SA_GP10_bhp_09u-15	BhP_09.01.007/1 śrūyatāṃ mānavo vaṃśaḥ prācuryeṇa parantapa	śrūyatām mānavaḥ vaṃśaḥ prācuryeṇa parantapa 
SA_GP10_bhp_09u-16	BhP_09.01.007/2 na śakyate vistarato vaktuṃ varṣaśatairapi	na śakyate vistarataḥ vaktum varṣa śataiḥ api 
SA_GP10_bhp_09u-17	BhP_09.01.008/1 parāvareṣāṃ bhūtānāmātmā yaḥ puruṣaḥ paraḥ	parāvareṣām bhūtānām ātmā yaḥ puruṣaḥ paraḥ 
SA_GP10_bhp_09u-18	BhP_09.01.008/2 sa evāsīdidaṃ viśvaṃ kalpānte 'nyan na kiñcana	saḥ eva āsīt idam viśvam kalpa ante nyat na kiñcana 
SA_GP10_bhp_09u-19	BhP_09.01.009/1 tasya nābheḥ samabhavat padmakoṣo hiraṇmayaḥ	tasya nābheḥ samabhavat padma koṣaḥ hiraṇmayaḥ 
SA_GP10_bhp_09u-20	BhP_09.01.009/2 tasmin jajñe mahārāja svayambhūścaturānanaḥ	tasmin jajñe mahā rāja svayambhūḥ caturānanaḥ 
SA_GP10_bhp_09u-21	BhP_09.01.010/1 marīcirmanasastasya jajñe tasyāpi kaśyapaḥ	marīciḥ manasaḥ tasya jajñe tasya api kaśyapaḥ 
SA_GP10_bhp_09u-22	BhP_09.01.010/2 dākṣāyaṇyāṃ tato 'dityāṃ vivasvān abhavat sutaḥ	dākṣāyaṇyām tatas dityām vivasvān abhavat sutaḥ 
SA_GP10_bhp_09u-23	BhP_09.01.011/1 tato manuḥ śrāddhadevaḥ saṃjñāyāmāsa bhārata	tatas manuḥ śrāddhadevaḥ saṃjñāyāmāsa bhārata 
SA_GP10_bhp_09u-24	BhP_09.01.011/2 śraddhāyāṃ janayāmāsa daśa putrān sa ātmavān	śraddhāyām janayāmāsa daśa putrān saḥ ātmavān 
SA_GP10_bhp_09u-25	BhP_09.01.012/1 ikṣvākunṛgaśaryāti diṣṭadhṛṣṭakarūṣakān	ikṣvāku nṛga śaryāti diṣṭa dhṛṣṭa karūṣakān 
SA_GP10_bhp_09u-26	BhP_09.01.012/2 nariṣyantaṃ pṛṣadhraṃ ca nabhagaṃ ca kaviṃ vibhuḥ	nariṣyantam pṛṣadhram ca nabhagam ca kavim vibhuḥ 
SA_GP10_bhp_09u-27	BhP_09.01.013/1 aprajasya manoḥ pūrvaṃ vasiṣṭho bhagavān kila	aprajasya manoḥ pūrvam vasiṣṭhaḥ bhagavān kila 
SA_GP10_bhp_09u-28	BhP_09.01.013/2 mitrāvaruṇayoriṣṭiṃ prajārthamakarodvibhuḥ	mitrāvaruṇayoḥ iṣṭim prajā artham akarot vibhuḥ 
SA_GP10_bhp_09u-29	BhP_09.01.014/1 tatra śraddhā manoḥ patnī hotāraṃ samayācata	tatra śraddhā manoḥ patnī hotāram samayācata 
SA_GP10_bhp_09u-30	BhP_09.01.014/2 duhitrarthamupāgamya praṇipatya payovratā	duhitṛ artham upāgamya praṇipatya payovratā 
SA_GP10_bhp_09u-31	BhP_09.01.015/1 preṣito 'dhvaryuṇā hotā vyacarat tat samāhitaḥ	preṣitaḥ dhvaryuṇā hotā vyacarat tat samāhitaḥ 
SA_GP10_bhp_09u-32	BhP_09.01.015/2 gṛhīte haviṣi vācā vaṣaṭkāraṃ gṛṇan dvijaḥ	gṛhīte haviṣi vācā vaṣaṭkāram gṛṇan dvijaḥ 
SA_GP10_bhp_09u-33	BhP_09.01.016/1 hotustadvyabhicāreṇa kanyelā nāma sābhavat	hotuḥ tad vyabhicāreṇa kanyā ilā nāma sā abhavat 
SA_GP10_bhp_09u-34	BhP_09.01.016/2 tāṃ vilokya manuḥ prāha nātituṣṭamanā gurum	tām vilokya manuḥ prāha na ati tuṣṭa manāḥ gurum 
SA_GP10_bhp_09u-35	BhP_09.01.017/1 bhagavan kimidaṃ jātaṃ karma vo brahmavādinām	bhagavan kim idam jātam karma vaḥ brahma vādinām 
SA_GP10_bhp_09u-36	BhP_09.01.017/2 viparyayamaho kaṣṭaṃ maivaṃ syādbrahmavikriyā	viparyayam aho kaṣṭam mā evam syāt brahma vikriyā 
SA_GP10_bhp_09u-37	BhP_09.01.018/1 yūyaṃ brahmavido yuktāstapasā dagdhakilbiṣāḥ	yūyam brahma vidaḥ yuktāḥ tapasā dagdha kilbiṣāḥ 
SA_GP10_bhp_09u-38	BhP_09.01.018/2 kutaḥ saṅkalpavaiṣamyamanṛtaṃ vibudheṣv iva	kutas saṅkalpa vaiṣamyam anṛtam vibudheṣu iva 
SA_GP10_bhp_09u-39	BhP_09.01.019/1 niśamya tadvacastasya bhagavān prapitāmahaḥ	niśamya tat vacaḥ tasya bhagavān prapitāmahaḥ 
