segmentnr	original	analyzed
SA_T14_stuplaku-0	Stūpa-lakṣaṇa-kārikā-vivecanaṃ	stūpa lakṣaṇa kārikā vivecanam 
SA_T14_stuplaku-1	including	including 
SA_T14_stuplaku-2	prakīrṇaka-caitya-lakṣaṇaṃ	prakīrṇaka caitya lakṣaṇam 
SA_T14_stuplaku-3	Ārya-Lokottaravādino yat kṛtir	ārya lokottara vādinaḥ yat kṛtiḥ 
SA_T14_stuplaku-4	Ācārya-bhadravyūhasya	ācārya bhadravyūhasya 
SA_T14_stuplaku-5	Slkv p. 208	slkv p 
SA_T14_stuplaku-6	siddhaṃ namo buddhāya //	siddham namaḥ buddhāya 
SA_T14_stuplaku-7	Slkv §1	slkv
SA_T14_stuplaku-8	prakīrṇakavinaye proktaṃ yal lokottaravādināṃ /	prakīrṇaka vinaye proktam yat lokottara vādinām 
SA_T14_stuplaku-9	yac cānyeṣāṃ nikāyānāṃ sūtrādau stūpalakṣaṇaṃ // 1 //	yat ca anyeṣām nikāyānām sūtra ādau stūpa lakṣaṇam 
SA_T14_stuplaku-10	darśitaṃ lokanāthena stokaṃ stokaṃ kvacit kvacit /	darśitam lokanāthena stokam stokam kvacid kvacid 
SA_T14_stuplaku-11	Slkv p. 209	slkv p 
SA_T14_stuplaku-12	sarvan tan setum iveha bhadravyūhena kathyate // 2 //	sarvat tat setum iva iha bhadra vyūhena kathyate  /
SA_T14_stuplaku-13	abhigamye bhuvo bhāge vāstuśuddhe 'pratiṣṭhite /	abhigamye bhuvaḥ bhāge vāstu śuddhe pratiṣṭhite 
SA_T14_stuplaku-14	na khabaddhaunnate snigdhe sthāne śucini kārayet // 3 //	na kha baddha aunnate snigdhe sthāne śucini kārayet 
SA_T14_stuplaku-15	yojanocchrek';	yojana ucchrek 
SA_T14_stuplaku-16	eka nirdiṣṭaṃ parikṣepo 'rdhayojanaḥ /	nirdiṣṭam parikṣepaḥ ṛdha yojanaḥ 
SA_T14_stuplaku-17	krośavistārā vedikā prakīrṇavinayoditaṃ // 4 //	krośa vistārā vedikā prakīrṇa vinaya uditam 
SA_T14_stuplaku-18	pariṇāhena kumbhasya stūpam ucce prakīrtitaṃ /	pariṇāhena kumbhasya stūpam ucce prakīrtitam 
SA_T14_stuplaku-19	tad aṃśena tu nemy ādi yāvad yaṣṭiśiraṃ kramāt // 5 //	tat aṃśena tu nemi ādi yāvat yaṣṭi śiram kramāt 
SA_T14_stuplaku-20	caturasrā bhaven nemir adhastātaḥ tad ardhena /	catur asrā bhavet nemiḥ adhastāt tat ardhena 
SA_T14_stuplaku-21	pramāṇena karaṇḍasya anubandhena cāpi kā // 6 //	pramāṇena karaṇḍasya anubandhena ca api kā 
SA_T14_stuplaku-22	karaṇḍasyāṣṭabhāgena adho neminimarjanaṃ /	karaṇḍasya aṣṭa bhāgena adhas nemi nimarjanam 
SA_T14_stuplaku-23	udakodgamane yāvad ā śuddher cco bhuvaḥ smṛtāḥ // 7 //	udaka udgamane yāvat ā śuddheḥ c caḥ bhuvaḥ smṛtāḥ 
