segmentnr	original	analyzed
SA_GR14_jivrkadu-0	Rādhā-kṛṣṇārcana-dīpikā	         
SA_GR14_jivrkadu-1	sanātana-samo yasya	sanātana samaḥ yasya 
SA_GR14_jivrkadu-2	jyāyān śrīmān sanātanaḥ /	jyāyān śrīmān sanātanaḥ 
SA_GR14_jivrkadu-3	śrī-vallabho 'nujaḥ so 'sau	śrīvallabhaḥ nujaḥ saḥ sau 
SA_GR14_jivrkadu-4	śrī-rūpo jīva-sad-gatiḥ //1//	           
SA_GR14_jivrkadu-5	[*NOTE: This verse is used by Jiva as the maṅgalācaraṇa in other works also.]	note this verse is used by jiva as the maṅgalācaraṇa in other works also 
SA_GR14_jivrkadu-6	purāṇa-saṃhitā-tantra-	purāṇa saṃhitā tantra 
SA_GR14_jivrkadu-7	mantra-śruti-samanvitam /	mantra śruti samanvitam 
SA_GR14_jivrkadu-8	gītā-bhāgavataṃ śāstraṃ	gītā bhāgavatam śāstram 
SA_GR14_jivrkadu-9	jayatād vraja-dhāmasu //2//	jayatāt vraja dhāmasu 
SA_GR14_jivrkadu-10	śrī-dāmodara-rādhārcanam arhati vraja-sthānām /	śrī dāmodara rādhā arcanam arhati vraja sthānām 
SA_GR14_jivrkadu-11	āvaśyakatām aśāvyanayo ratrādhidevyaṃ hi //3//	āvaśyaka tām aśāvi anayoḥ ratra adhidevyam hi 
SA_GR14_jivrkadu-12	tatra kaścit śāstra-pramāṇakatvaṃ na manyate,	tatra kaścid śāstra pramāṇaka tvam na manyate 
SA_GR14_jivrkadu-13	taṃ pratīdaṃ brūmaḥ -	tam prati idam brūmaḥ 
SA_GR14_jivrkadu-14	lakṣmīr abhitaḥ strītamā gopyo lakṣmītamāḥ prathitāḥ /	lakṣmīḥ abhitas strītamāḥ gopyaḥ lakṣmītamāḥ prathitāḥ 
SA_GR14_jivrkadu-15	rādhā gopītamā ced asyāḥ kā samā rāmā //4// iti //	rādhā gopītamā ced asyāḥ kā samā rāmā iti 
SA_GR14_jivrkadu-16	[*NOTE: This verse is quoted at Gopāla-campū 1.25.]	note this verse is quoted at gopālacampū 
SA_GR14_jivrkadu-17	āstāṃ tāvat lakṣmī-vijetṛ-guṇa-gaṇa-gopī-gaṇa-pradhānatayā śrī-kṛṣṇa-sandarbhādau nirṇītā /	āstām tāvat lakṣmī vijetṛ guṇa gaṇa gopī gaṇa pradhāna tayā śrī kṛṣṇa sandarbha ādau nirṇītā 
SA_GR14_jivrkadu-18	[*NOTE: Portions of RKAD have been lifted wholesale from the Sandarbhas.]	note portions of rkad have been lifted wholesale from the sandarbhas 
SA_GR14_jivrkadu-19	atra ca nirṇeṣyamāṇā svayaṃ bhagavataḥ śrī-kṛṣṇasya svayaṃ lakṣmī-rūpā śrī-rādhā /	atra ca nirṇeṣyamāṇā svayam bhagavataḥ śrī kṛṣṇasya svayam lakṣmī rūpā śrīrādhā 
SA_GR14_jivrkadu-20	gopī-jana-mātra-saṃvalitaḥ sa upāsyata ity atra śāstrāṇi śṛṇu /	gopī jana mātra saṃvalitaḥ saḥ upāsyate iti atra śāstrāṇi śṛṇu 
SA_GR14_jivrkadu-21	tatrāroha-bhūmikā-krameṇa darśyate /	tatra āroha bhūmikā krameṇa darśyate 
SA_GR14_jivrkadu-22	ārādhanaṃ hi kṛṣṇasya	ārādhanam hi kṛṣṇasya 
SA_GR14_jivrkadu-23	bhaved āvaśyakaṃ yathā /	bhavet āvaśyakam yathā 
SA_GR14_jivrkadu-24	tathā tadīya-bhaktānāṃ	tathā tadīya bhaktānām 
SA_GR14_jivrkadu-25	no ced doṣo 'sti dustaraḥ //5//	no ced doṣaḥ sti dustaraḥ 
SA_GR14_jivrkadu-26	[*NOTE: This verse is,	note this verse is 
SA_GR14_jivrkadu-27	but for mukundasya in the place of hi kṛṣṇasya,	but for mukundasya in the place of hi kṛṣṇasya 
SA_GR14_jivrkadu-28	the same as LBhāg 2.1. The following section follows closely on LBhāg 2.]	the same as lbhāg  the following section follows closely on lbhāg 
SA_GR14_jivrkadu-29	(end page 1)	end page 
SA_GR14_jivrkadu-30	atra śrī-kṛṣṇasya yathā gautamīya-tantre -	atra śrī kṛṣṇasya yathā gautamīyatantre 
SA_GR14_jivrkadu-31	asāre ghora-saṃsāre	asāre ghora saṃsāre 
SA_GR14_jivrkadu-32	sāraṃ kṛṣṇa-padārcanam /	sāram kṛṣṇa pada arcanam 
SA_GR14_jivrkadu-33	janmāsādya manuṣyeṣu	janma āsādya manuṣyeṣu 
SA_GR14_jivrkadu-34	śuddhe ca pitṛ-mātari /	śuddhe ca pitṛ mātari 
