segmentnr	original	analyzed
SA_GSP34_ghers_pu-0	<1.0/1> ādi+ +īśvarāya praṇanāmi tasmai /	ādi īśvarāya praṇanāmi tasmai 
SA_GSP34_ghers_pu-1	<1.0/2> yena upadiṣṭā haṭha+ +yoga+ +vidyā /	yena upadiṣṭā haṭha yoga vidyā 
SA_GSP34_ghers_pu-2	<1.0/3> virājate pronnata+ +rāja+ +yogam /	virājate pronnata rāja yogam 
SA_GSP34_ghers_pu-3	<1.0/4> āroḍhum icchoḥ adhirohiṇī iva //1.0/	āroḍhum icchoḥ adhirohiṇī iva 
SA_GSP34_ghers_pu-4	<1.1/1> ekadā caṇḍakāpāliḥ /	ekadā caṇḍakāpāliḥ 
SA_GSP34_ghers_pu-5	gatvā gheraṇḍa+ +kuṭṭiram /	gatvā gheraṇḍa kuṭṭiram 
SA_GSP34_ghers_pu-6	<1.1/2> praṇamya vinayāt bhaktyā /	praṇamya vinayāt bhaktyā 
SA_GSP34_ghers_pu-7	gheraṇḍam paripṛcchhati //1.1/	gheraṇḍam paripṛcchati 
SA_GSP34_ghers_pu-8	<1.2/1> caṇḍakāpāliḥ uvāca:	caṇḍakāpāliḥ uvāca 
SA_GSP34_ghers_pu-9	ghaṭa+ +stha+ +yogam yoga+ +īśa /	ghaṭa stha yogam yoga īśa 
SA_GSP34_ghers_pu-10	tattva+ +jñānasya kāraṇam /	tattva jñānasya kāraṇam 
SA_GSP34_ghers_pu-11	<1.2/2> idānīm śrotum icchāmi /	idānīm śrotum icchāmi 
SA_GSP34_ghers_pu-12	yoga+ +īśvara vada prabho //1.2/	yoga īśvara vada prabho 
SA_GSP34_ghers_pu-13	<1.3/1> gheraṇḍaḥ uvāca:	gheraṇḍaḥ uvāca 
SA_GSP34_ghers_pu-14	sādhu sādhu mahā+ +bāho /	sādhu sādhu mahā bāho 
SA_GSP34_ghers_pu-15	yat mām tvam paripṛcchasi /	yat mām tvam paripṛcchasi 
SA_GSP34_ghers_pu-16	<1.3/2> kathayāmi hi te tattvam /	kathayāmi hi te tattvam 
SA_GSP34_ghers_pu-17	sa+ +avadhānaḥ avadhāraya //1.3/	sa avadhānaḥ avadhāraya 
SA_GSP34_ghers_pu-18	<1.4/1> na asti māyā+ +samaḥ pāśaḥ /	na asti māyā samaḥ pāśaḥ 
SA_GSP34_ghers_pu-19	na asti yogāt param balam /	na asti yogāt param balam 
SA_GSP34_ghers_pu-20	<1.4/2> na hi jñānāt paraḥ bandhuḥ /	na hi jñānāt paraḥ bandhuḥ 
